804519450	20181122	201811	2018	2018.8822	GBR	UNITED KINGDOM	GBR								ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	4	2	4	-5.517270536507	1	United Kingdom	UK	UK	54	-4	UK	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	20181122	http://time.com/5461956/british-academic-sentenced-spying-united-arab-emirates/
804586681	20181122	201811	2018	2018.8822	JUD	JUDGE						JUD			CRMCRM	CRIMINAL						CRM	CRM		0	130	130	13	3	-4.4	18	1	18	-5.76761388212537	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://gulfnews.com/uae/crime/men-advised-to-avoid-unlicensed-massage-parlours-1.60516247
804603336	20181122	201811	2018	2018.8822	GBR	BRITISH	GBR								GBRGOV	UNITED KINGDOM	GBR					GOV			1	130	130	13	3	-4.4	4	1	4	-5.69536423841059	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.voanews.com/a/britain-threatens-uae-over-jailing-of-british-student-accused-of-spying/4669389.html
804603371	20181122	201811	2018	2018.8822	GBREDU	BRITISH	GBR					EDU			GBRGOV	BRITISH	GBR					GOV			1	130	130	13	3	-4.4	4	1	4	-5.69536423841059	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.voanews.com/a/britain-threatens-uae-over-jailing-of-british-student-accused-of-spying/4669389.html
804617554	20181122	201811	2018	2018.8822	GBR	UNITED KINGDOM	GBR																		1	130	130	13	3	-4.4	24	12	24	-1.83899263653865	4	Exeter, Devon, United Kingdom	UK	UKD4	50.7	-3.53333	-2595805	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.brentwoodlive.co.uk/news/national/17240706.uk-putting-uae-relations-above-jailed-academics-freedom-wife-says/
804640307	20181122	201811	2018	2018.8822	EDU	UNIVERSITY						EDU			PTY	POLITICIAN									0	130	130	13	3	-4.4	4	1	4	-4.37828371278459	4	Edgbaston, Birmingham, United Kingdom	UK	UKA7	52.45	-1.91667	-2595375	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.birminghammail.co.uk/news/midlands-news/university-birmingham-matthew-hedges-dubai-15437205
804640308	20181122	201811	2018	2018.8822	EDU	UNIVERSITY						EDU			PTY	POLITICIAN									0	130	130	13	3	-4.4	6	1	6	-4.37828371278459	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.birminghammail.co.uk/news/midlands-news/university-birmingham-matthew-hedges-dubai-15437205
804642313	20171122	201711	2017	2017.8822	MOS	ISLAM				MOS					ARE	DUBAI	ARE								1	130	130	13	3	-4.4	10	1	10	0.44247787610619	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://www.thenational.ae/uae/courts/uae-family-matters-q-as-can-i-get-child-custody-if-my-husband-is-a-drunk-1.794789
804645489	20181122	201811	2018	2018.8822	SAU	SAUDI	SAU								CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	2	1	2	-1.68539325842696	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://bcfocus.com/news/saudi-arabia-uae-to-roll-out-sovereign-crypto-next-year/41296/
804645496	20181122	201811	2018	2018.8822	SAUGOV	SAUDI	SAU					GOV			CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	3	1	3	-1.68539325842696	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181122	https://bcfocus.com/news/saudi-arabia-uae-to-roll-out-sovereign-crypto-next-year/41296/
