847181423	20190523	201905	2019	2019.3918	IRN	IRAN	IRN																		0	138	138	13	3	-7.0	63	26	61	-3.66066277540374	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	0							1	United Arab Emirates	AE	AE	24	54	AE	20190523	https://wnmtradio.com/news/articles/2019/may/22/pentagon-mulling-us-military-request-to-send-5000-troops-to-middle-east-officials/
847212651	20190523	201905	2019	2019.3918	MIL	MILITARY						MIL			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	6	3	6	-5.03049168320668	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	1	United Arab Emirates	AE	AE	24	54	AE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20190523	https://www.middleeastmonitor.com/20190523-yemens-houthis-attack-saudi-arabias-najran-airport-again/
847231994	20190523	201905	2019	2019.3918	USA	UNITED STATES	USA																		0	138	138	13	3	-7.0	1	1	1	-3.4324942791762	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	United Arab Emirates	AE	AE	24	54	AE	20190523	https://www.thejakartapost.com/news/2019/05/23/pentagon-mulling-us-military-request-to-send-5000-troops-to-middle-east-officials.html
847232087	20190523	201905	2019	2019.3918	USA	UNITED STATES	USA								IRN	IRAN	IRN								0	138	138	13	3	-7.0	1	1	1	-3.4324942791762	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190523	https://www.thejakartapost.com/news/2019/05/23/pentagon-mulling-us-military-request-to-send-5000-troops-to-middle-east-officials.html
847257102	20190523	201905	2019	2019.3918	MIL	MILITARY						MIL													1	1384	138	13	3	-7.0	4	1	4	-3.72960372960373	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	0							1	United Arab Emirates	AE	AE	24	54	AE	20190523	https://www.yenisafak.com/en/world/pentagon-considering-us-military-request-to-send-5000-troops-to-middle-east-3481729
847257103	20190523	201905	2019	2019.3918	MIL	MILITARY						MIL													1	1384	138	13	3	-7.0	2	1	2	-3.72960372960373	1	United Arab Emirates	AE	AE	24	54	AE	0							4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190523	https://www.yenisafak.com/en/world/pentagon-considering-us-military-request-to-send-5000-troops-to-middle-east-3481729
847257104	20190523	201905	2019	2019.3918	MIL	MILITARY						MIL													1	1384	138	13	3	-7.0	2	1	2	-3.72960372960373	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190523	https://www.yenisafak.com/en/world/pentagon-considering-us-military-request-to-send-5000-troops-to-middle-east-3481729
847266426	20190523	201905	2019	2019.3918	GOV	ADMINISTRATION						GOV			UAF	TERRORIST ORGANIZATION						UAF			1	130	130	13	3	-4.4	2	1	2	-4.12087912087912	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	1	Saudi Arabia	SA	SA	25	45	SA	20190523	http://vestnikkavkaza.net/analysis/Americans-believe-war-with-Iran-is-coming.html
847266528	20190523	201905	2019	2019.3918	IRNMOS	IRAN	IRN			MOS					UAF	TERRORIST ORGANIZATION						UAF			1	130	130	13	3	-4.4	3	1	3	-4.12087912087912	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	1	Saudi Arabia	SA	SA	25	45	SA	20190523	http://vestnikkavkaza.net/analysis/Americans-believe-war-with-Iran-is-coming.html
847267047	20190523	201905	2019	2019.3918	USAGOV	UNITED STATES	USA					GOV			UAF	TERRORIST ORGANIZATION						UAF			1	130	130	13	3	-4.4	1	1	1	-4.12087912087912	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	1	Saudi Arabia	SA	SA	25	45	SA	20190523	http://vestnikkavkaza.net/analysis/Americans-believe-war-with-Iran-is-coming.html
