848235460	20190528	201905	2019	2019.4055											ARE	UNITED ARAB EMIRATES	ARE								0	130	130	13	3	-4.4	2	1	2	-5.30201342281879	0							4	Khor Fakkan, Ash Shariqah, United Arab Emirates	AE	AE06	25.3313	56.342	-783368	4	Khor Fakkan, Ash Shariqah, United Arab Emirates	AE	AE06	25.3313	56.342	-783368	20190528	http://www.arabnews.com/node/1502996/middle-east
848237138	20190528	201905	2019	2019.4055	QAT	QATAR	QAT																		1	163	163	16	4	-8.0	24	3	24	-4.02684563758389	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190528	https://www.expressnews.com/news/world/article/Qatar-says-Saudi-Arabia-invites-it-to-summit-amid-13898346.php
848260815	20190528	201905	2019	2019.4055	LEGGOV	SENATE						LEG	GOV												1	163	163	16	4	-8.0	2	1	2	-3.59116022099448	1	United Arab Emirates	AE	AE	24	54	AE	0							1	Saudi Arabia	SA	SA	25	45	SA	20190528	http://www.allmediany.com/news/114406-trump-and-pompeo-avoid-congress-by-using-emergency-authority-for-arms-deals-benefitting-saudis-and-uae
848318860	20190528	201905	2019	2019.4055	FRA	FRENCH	FRA								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	8	1	8	-6.1072261072261	1	France	FR	FR	46	2	FR	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190528	http://nna-leb.gov.lb/en/show-news/104056/French-minister-Le-Drian-urges-Saudi-and-UAE-to-end-war-in-Yemen
848318884	20190528	201905	2019	2019.4055	FRAGOV	FRENCH	FRA					GOV			ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	8	1	8	-6.1072261072261	1	France	FR	FR	46	2	FR	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190528	http://nna-leb.gov.lb/en/show-news/104056/French-minister-Le-Drian-urges-Saudi-and-UAE-to-end-war-in-Yemen
848329885	20190528	201905	2019	2019.4055	ARE	DUBAI	ARE								TZA	KILIMANJARO	TZA								0	130	130	13	3	-4.4	5	1	5	2.06022187004754	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Nungwi, Zanzibar North, Tanzania	TZ	TZ22	-5.76667	39.3	-2572102	20190528	https://www.khaleejtimes.com/ramadan-2019/eid-al-fitr-5-best-getaway-deals-from-uae
848349667	20190528	201905	2019	2019.4055											ARE	DUBAI	ARE								1	130	130	13	3	-4.4	10	1	10	3.65853658536585	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190528	https://www.constructionweekonline.com/projects-tenders/183068-arabtecs-target-wins-52m-contract-for-ellington-tower-homes-in-dubai
848350846	20190528	201905	2019	2019.4055	ISR	ISRAEL	ISR								BHR	BAHRAIN	BHR								0	160	160	16	4	-4.0	1	1	1	-0.89485458612976	4	Jerusalem, Israel (general), Israel	IS	IS00	31.7667	35.2333	-797092	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190528	https://www.alaraby.co.uk/english/news/2019/5/28/trumps-plan-bahrain-workshop-will-go-to-hell-abbas
848350847	20190528	201905	2019	2019.4055	ISR	ISRAEL	ISR								BHR	BAHRAIN	BHR								0	160	160	16	4	-4.0	1	1	1	-0.89485458612976	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190528	https://www.alaraby.co.uk/english/news/2019/5/28/trumps-plan-bahrain-workshop-will-go-to-hell-abbas
848351377	20190528	201905	2019	2019.4055	PSE	PALESTINE	PSE								BHR	MANAMA	BHR								0	160	160	16	4	-4.0	1	1	1	-0.89485458612976	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190528	https://www.alaraby.co.uk/english/news/2019/5/28/trumps-plan-bahrain-workshop-will-go-to-hell-abbas
848375061	20190528	201905	2019	2019.4055											IRN	IRAN	IRN								0	130	130	13	3	-4.4	1	1	1	-4.50997398091934	0							1	Saudi Arabia	SA	SA	25	45	SA	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190528	https://www.hellenicshippingnews.com/marine-ecosystems-endangered-by-tanker-sabotage-in-the-gulf/
848415327	20190528	201905	2019	2019.4055	MIL	MILITARY						MIL			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-5.25641025641026	4	Mecca, Makkah, Saudi Arabia	SA	SA14	21.4267	39.8261	-3096949	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Mecca, Makkah, Saudi Arabia	SA	SA14	21.4267	39.8261	-3096949	20190528	http://jordantimes.com/news/region/yemens-houthis-step-drone-attacks-saudi-arabia
848446793	20190528	201905	2019	2019.4055	FRA	FRENCH	FRA								SAU	SAUDI ARABIAN	SAU								1	160	160	16	4	-4.0	2	1	2	-5.41958041958042	1	United Arab Emirates	AE	AE	24	54	AE	4	Le Havre, Haute-Normandie, France	FR	FRA7	49.5	0.133333	-1441598	4	Le Havre, Haute-Normandie, France	FR	FRA7	49.5	0.133333	-1441598	20190528	https://article.wn.com/view/2019/05/28/French_Rights_Group_Files_Legal_Challenge_To_Block_French_Ar/
848464167	20190528	201905	2019	2019.4055	IRN	IRAN	IRN								JOR	JORDAN	JOR								1	130	130	13	3	-4.4	1	1	1	-1.69491525423729	1	Iran	IR	IR	32	53	IR	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	20190528	https://www.defensedaily.com/administration-bypassing-congress-approve-8-1-billion-arms-sales-saudi-arabia-uae-jordan/international/
