796406508	20181022	201810	2018	2018.8000	ARE	UNITED ARAB EMIRATES	ARE																		1	130	130	13	3	-4.4	2	1	2	-6.25000000000001	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Delhi, Delhi, India	IN	IN07	28.6667	77.2167	-2094230	20181022	https://www.oneindia.com/india/cbi-books-its-second-in-command-part-of-bribe-allegedly-paid-at-press-club-delhi-2796398.html
796406509	20181022	201810	2018	2018.8000	ARE	DUBAI	ARE																		1	130	130	13	3	-4.4	6	1	6	-6.25000000000001	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181022	https://www.oneindia.com/india/cbi-books-its-second-in-command-part-of-bribe-allegedly-paid-at-press-club-delhi-2796398.html
796420675	20181022	201810	2018	2018.8000											BUS	INVESTOR						BUS			0	130	130	13	3	-4.4	1	1	1	0.40617384240455	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181022	https://www.thenational.ae/business/money/is-there-a-price-to-pay-for-investing-sustainably-1.782769
796420828	20181022	201810	2018	2018.8000	ARE	UNITED ARAB EMIRATES	ARE								BUS	INVESTOR						BUS			0	130	130	13	3	-4.4	2	1	2	0.40617384240455	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181022	https://www.thenational.ae/business/money/is-there-a-price-to-pay-for-investing-sustainably-1.782769
796432023	20181022	201810	2018	2018.8000	SAU	SAUDI ARABIA	SAU								SAUMED	SAUDI ARABIA	SAU					MED			1	130	130	13	3	-4.4	36	6	36	-3.03272146847566	1	Germany	GM	GM	51.5	10.5	GM	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20181022	https://www.seattlepi.com/news/world/article/Saudi-king-crown-prince-call-slain-writer-13325520.php
796432048	20181022	201810	2018	2018.8000	SAUGOV	SAUDI ARABIA	SAU					GOV			SAUMED	SAUDI	SAU					MED			1	130	130	13	3	-4.4	12	6	12	-3.03272146847566	1	Germany	GM	GM	51.5	10.5	GM	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20181022	https://www.seattlepi.com/news/world/article/Saudi-king-crown-prince-call-slain-writer-13325520.php
796443638	20181022	201810	2018	2018.8000	ARECOP	ABU DHABI	ARE					COP			CVL	RESIDENTS						CVL			1	130	130	13	3	-4.4	10	1	10	-5.1948051948052	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20181022	https://www.arabianbusiness.com/culture-society/406595-abu-dhabi-drivers-warned-against-taking-rain-pictures-while-driving
796444750	20181022	201810	2018	2018.8000	SAU	SAUDI	SAU								SAUMED	SAUDI ARABIA	SAU					MED			1	130	130	13	3	-4.4	64	8	64	-3.2	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	20181022	https://www.sfgate.com/news/crime/article/Saudi-king-crown-prince-call-slain-writer-13325520.php
796444767	20181022	201810	2018	2018.8000	SAUGOV	SAUDI ARABIA	SAU					GOV			SAUMED	SAUDI	SAU					MED			1	130	130	13	3	-4.4	16	8	16	-3.2	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	20181022	https://www.sfgate.com/news/crime/article/Saudi-king-crown-prince-call-slain-writer-13325520.php
796456152	20181022	201810	2018	2018.8000	ARE	ABU DHABI	ARE								ARECOP	UNITED ARAB EMIRATES	ARE					COP			1	130	130	13	3	-4.4	4	1	4	-3.90625	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20181022	http://gulfbusiness.com/abu-dhabi-police-issues-warning-theft-credit-card-details/
