843182545	20190506	201905	2019	2019.3452	USA	THE US	USA								MOS	ISLAMIC				MOS					0	163	163	16	4	-8.0	2	1	2	-1.95097548774387	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190506	https://www.globalsecurity.org/wmd/library/news/iran/2019/iran-190505-presstv01.htm
843183941	20190506	201905	2019	2019.3452	USA	UNITED STATES	USA																		0	138	138	13	3	-7.0	2	1	2	-5.859375	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	United Arab Emirates	AE	AE	24	54	AE	20190506	https://www.sbs.com.au/news/blacklisting-the-muslim-brotherhood-could-radicalise-members-analysts-say
843191929	20190506	201905	2019	2019.3452	BHR	BAHRAIN	BHR								QAT	DOHA	QAT								1	161	161	16	4	-4.0	1	1	1	-7.79816513761467	1	United Arab Emirates	AE	AE	24	54	AE	1	Bahrain	BA	BA	26	50.5	BA	1	Bahrain	BA	BA	26	50.5	BA	20190506	https://www.dailysabah.com/mideast/2019/05/06/qatar-rejects-issuing-visas-for-egyptians-amid-crisis
843203841	20180506	201805	2018	2018.3452	ARELEG	UNITED ARAB EMIRATES	ARE					LEG			JOR	JORDAN	JOR								1	130	130	13	3	-4.4	4	1	4	-4.02576489533012	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Jordan	JO	JO	31	36	JO	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190506	https://www.thesun.ie/news/4062686/kinahan-cartel-target-troy-jordan-at-centre-of-sinister-death-threat-because-of-loyalty-to-gerry-the-monk-hutch/
843203989	20190506	201905	2019	2019.3452											NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI		1	130	130	13	3	-4.4	6	1	6	-9.3670886075949	0							1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190506	https://www.albawaba.com/news/terminally-ill-emirati-cancer-patient-died-prison-1284120
843204615	20190506	201905	2019	2019.3452	JOR	JORDAN	JOR								ARECRM	UNITED ARAB EMIRATES	ARE					CRM			1	130	130	13	3	-4.4	2	1	2	-4.02576489533012	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Jordan	JO	JO	31	36	JO	20190506	https://www.thesun.ie/news/4062686/kinahan-cartel-target-troy-jordan-at-centre-of-sinister-death-threat-because-of-loyalty-to-gerry-the-monk-hutch/
843204845	20190506	201905	2019	2019.3452	NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI		ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	4	1	4	-9.3670886075949	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190506	https://www.albawaba.com/news/terminally-ill-emirati-cancer-patient-died-prison-1284120
843204929	20190506	201905	2019	2019.3452	REL	MONK									CRM	CARTEL						CRM			1	130	130	13	3	-4.4	2	1	2	-4.02576489533012	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190506	https://www.thesun.ie/news/4062686/kinahan-cartel-target-troy-jordan-at-centre-of-sinister-death-threat-because-of-loyalty-to-gerry-the-monk-hutch/
843204930	20190506	201905	2019	2019.3452	REL	MONK									CRM	CARTEL						CRM			1	130	130	13	3	-4.4	2	1	2	-4.02576489533012	1	Jordan	JO	JO	31	36	JO	1	Jordan	JO	JO	31	36	JO	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190506	https://www.thesun.ie/news/4062686/kinahan-cartel-target-troy-jordan-at-centre-of-sinister-death-threat-because-of-loyalty-to-gerry-the-monk-hutch/
843258121	20190506	201905	2019	2019.3452	ARE	DUBAI	ARE								QAT	DOHA	QAT								1	163	163	16	4	-8.0	190	23	190	-3.97405525970695	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	20190506	https://www.sfgate.com/news/world/article/UAE-says-it-releases-Qatar-navy-boat-4-sailors-13821867.php
