849279376	20190601	201906	2019	2019.4137	JORELI	HASSAN	JOR					ELI			IRN	IRAN	IRN								1	130	130	13	3	-4.4	6	1	6	-7.57281553398058	1	Iran	IR	IR	32	53	IR	4	Mecca, Makkah, Saudi Arabia	SA	SA14	21.4267	39.8261	-3096949	1	United Arab Emirates	AE	AE	24	54	AE	20190601	http://www.naharnet.com/stories/en/260981-nasrallah-warns-region-to-burn-if-iran-attacked-slams-hariri-s-mecca-stance
849280193	20190601	201906	2019	2019.4137	SDN	SUDAN	SDN								QATMED	AL JAZEERA	QAT					MED			1	160	160	16	4	-4.0	2	1	2	-3.15186246418338	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190601	https://www.msn.com/en-us/news/world/sudan-closes-al-jazeera-office-in-khartoum-channel/ar-AAC9Y5K
849332816	20190601	201906	2019	2019.4137	QAT	QATAR	QAT								SAU	SAUDI	SAU								0	163	163	16	4	-8.0	1	1	1	-5.79710144927537	4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190601	https://thepublicsradio.org/article/al-jazeera-says-sudan-shuts-down-bureau-amid-sit-in-threat
849332818	20190601	201906	2019	2019.4137	QATMED	AL JAZEERA	QAT					MED			SDN	KHARTOUM	SDN								1	130	130	13	3	-4.4	1	1	1	-5.79710144927537	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190601	https://thepublicsradio.org/article/al-jazeera-says-sudan-shuts-down-bureau-amid-sit-in-threat
849344643	20190601	201906	2019	2019.4137	GOV	KING						GOV													1	130	130	13	3	-4.4	3	1	3	-1.38888888888889	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190601	https://www.newsofbahrain.com/bahrain/53839.html
849344776	20190601	201906	2019	2019.4137	IRN	IRAN	IRN																		1	130	130	13	3	-4.4	1	1	1	-1.38888888888889	1	Iran	IR	IR	32	53	IR	0							1	United Arab Emirates	AE	AE	24	54	AE	20190601	https://www.newsofbahrain.com/bahrain/53839.html
849348299	20190601	201906	2019	2019.4137	IND	LUDHIANA	IND								COP	POLICE						COP			1	138	138	13	3	-7.0	2	1	2	-7.37704918032787	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190601	https://menafn.com/1098596523/3-Indians-held-for-duping-17-by-offering-fake-work-visa-to-UAE
849355876	20190601	201906	2019	2019.4137	ARE	DUBAI	ARE																		0	130	130	13	3	-4.4	8	1	8	-1.60642570281125	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190601	https://www.express.co.uk/travel/articles/1133043/holidays-2019-travel-insurance-compare-medical-bill-abta
849360097	20190601	201906	2019	2019.4137	SAU	SAUDI	SAU								SAUGOV	SAUDI ARABIA	SAU					GOV			1	138	138	13	3	-7.0	1	1	1	-10.0286532951289	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190601	https://www.alaraby.co.uk/english/news/2019/6/1/saudi-king-warns-gulf-attacks-could-threaten-oil-supplies
849360099	20190601	201906	2019	2019.4137	SAU	SAUDI	SAU								UAF	TERRORIST						UAF			1	138	138	13	3	-7.0	1	1	1	-10.0286532951289	1	United Arab Emirates	AE	AE	24	54	AE	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190601	https://www.alaraby.co.uk/english/news/2019/6/1/saudi-king-warns-gulf-attacks-could-threaten-oil-supplies
849372265	20190601	201906	2019	2019.4137	USA	TAMPA	USA								BUS	AIRLINE						BUS			1	130	130	13	3	-4.4	9	3	9	0.303643724696352	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190601	https://www.chron.com/travel/article/Routes-United-Frontier-Ohio-13910978.php
