854975449	20190619	201906	2019	2019.4630	ARE	UNITED ARAB EMIRATES	ARE								IRN	IRAN	IRN								1	130	130	13	3	-4.4	1	1	1	-5.02183406113537	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://isp.netscape.com:443/entertainment/story/0002/20190626/KCN1TQ0V5_10
854975450	20190619	201906	2019	2019.4630	ARE	UNITED ARAB EMIRATES	ARE								IRN	IRAN	IRN								1	130	130	13	3	-4.4	13	11	13	-4.86337036633598	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190626	http://easternontarionetwork.com/2019/06/25/trump-threatens-obliteration-iran-calls-white-house-mentally-retarded/
854975457	20190619	201906	2019	2019.4630	IRN	IRAN	IRN																		1	130	130	13	3	-4.4	14	12	14	-4.8746892016788	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	http://easternontarionetwork.com/2019/06/25/trump-threatens-obliteration-iran-calls-white-house-mentally-retarded/
854994475	20190626	201906	2019	2019.4822	NMR	NORTH AMERICA	NMR								idg	INDIGENOUS			idg						1	130	130	13	3	-4.4	4	1	4	-0.28328611898017	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://thesarniajournal.ca/educator-working-to-preserve-indigenous-language/
854994869	20190626	201906	2019	2019.4822	USA	UNITED STATES	USA								idg	INDIGENOUS			idg						1	130	130	13	3	-4.4	4	1	4	-0.28328611898017	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://thesarniajournal.ca/educator-working-to-preserve-indigenous-language/
855016100	20190626	201906	2019	2019.4822	CRM	COUNTERFEITER						CRM													1	130	130	13	3	-4.4	10	1	10	-2.46478873239437	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://menafn.com/1098686065/UAE-Only-YOU-can-help-stop-counterfeit-trade
855030655	20190626	201906	2019	2019.4822	LAB	WORKER						LAB													1	160	160	16	4	-4.0	10	1	10	-5.29595015576324	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	0							4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190626	https://www.khaleejtimes.com/news/crime-and-courts/duo-set-ablaze-car-to-steal-dh4000-from-colleagues-in-uae
855072007	20190626	201906	2019	2019.4822	ARE	DUBAI	ARE								LEG	REPRESENTATIVES						LEG			1	130	130	13	3	-4.4	2	1	2	-2.90076335877862	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://international-adviser.com/nri-investors-fall-prey-to-more-ponzi-schemes/
855072008	20190626	201906	2019	2019.4822	ARE	UNITED ARAB EMIRATES	ARE								LEG	REPRESENTATIVES						LEG			1	130	130	13	3	-4.4	2	1	2	-2.90076335877862	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Cyprus	CY	CY	35	33	CY	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190626	https://international-adviser.com/nri-investors-fall-prey-to-more-ponzi-schemes/
855072009	20190626	201906	2019	2019.4822	ARE	DUBAI	ARE								LEG	REPRESENTATIVES						LEG			1	130	130	13	3	-4.4	6	1	6	-2.90076335877862	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Cyprus	CY	CY	35	33	CY	1	Cyprus	CY	CY	35	33	CY	20190626	https://international-adviser.com/nri-investors-fall-prey-to-more-ponzi-schemes/
