852787740	20190617	201906	2019	2019.4575	MOS	ISLAM				MOS															1	164	164	16	4	-7.0	72	12	72	1.02268724191896	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	http://www.capradio.org/news/npr/story?storyid=733146089
852792886	20190617	201906	2019	2019.4575	RUS	RUSSIA	RUS																		0	138	138	13	3	-7.0	40	4	40	-4.84054638854041	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	https://www.msn.com/en-us/news/world/damaged-tanker-arrives-at-uae-anchorage-amid-increased-regional-tensions/ar-AACXnyg
852801582	20190617	201906	2019	2019.4575	CRM	DEALER						CRM													1	130	130	13	3	-4.4	10	1	10	-0.98360655737705	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	https://www.tribuneindia.com/news/nation/gold-paste-a-new-way-to-smuggle/788921.html
852825946	20190617	201906	2019	2019.4575	ARE	DUBAI	ARE																		1	139	139	13	3	-7.0	10	1	10	-2	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	https://www.meed.com/dubai-sets-july-deadline-al-maktoum-airport-bids/
852831943	20190617	201906	2019	2019.4575	AREBUS	UNITED ARAB EMIRATES	ARE					BUS													1	130	130	13	3	-4.4	2	1	2	-3.28947368421053	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	https://www.thenational.ae/business/economy/abraaj-investor-patrick-chalhoub-cautions-against-over-regulation-after-fund-s-collapse-1.875131
852831945	20190617	201906	2019	2019.4575	AREBUS	UNITED ARAB EMIRATES	ARE					BUS			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-3.28947368421053	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190617	https://www.thenational.ae/business/economy/abraaj-investor-patrick-chalhoub-cautions-against-over-regulation-after-fund-s-collapse-1.875131
852849894	20190617	201906	2019	2019.4575	OPP	PROTEST LEADER						OPP													0	138	138	13	3	-7.0	6	3	6	-7.51145598088438	1	United Arab Emirates	AE	AE	24	54	AE	0							4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	20190617	https://www.southcoasttoday.com/ZZ/news/20190603/35-dead-as-sudan-troops-move-against-democracy-protesters
852849907	20190617	201906	2019	2019.4575	OPP	PROTEST LEADER						OPP			MIL	MILITARY						MIL			0	164	164	16	4	-7.0	6	3	6	-7.51145598088438	1	United Arab Emirates	AE	AE	24	54	AE	4	Khartoum, Al Khartum, Sudan	SU	SU29	15.5881	32.5342	-1987	1	United Arab Emirates	AE	AE	24	54	AE	20190617	https://www.southcoasttoday.com/ZZ/news/20190603/35-dead-as-sudan-troops-move-against-democracy-protesters
852856409	20190617	201906	2019	2019.4575	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	130	130	13	3	-4.4	2	1	2	-4.55764075067025	1	United Arab Emirates	AE	AE	24	54	AE	5	Blue Nile State, An Nil al Azraq, Sudan	SU	SU42	11.15	34.1	315383	4	Red Sea, Djibouti (general), Djibouti	DJ	DJ00	19	39.5	-2037160	20190617	https://allafrica.com/stories/201906170165.html
852856410	20190617	201906	2019	2019.4575	ARE	UNITED ARAB EMIRATES	ARE								SDN	SUDAN	SDN								0	130	130	13	3	-4.4	4	1	4	-4.55764075067025	1	United Arab Emirates	AE	AE	24	54	AE	5	Blue Nile State, An Nil al Azraq, Sudan	SU	SU42	11.15	34.1	315383	5	Blue Nile State, An Nil al Azraq, Sudan	SU	SU42	11.15	34.1	315383	20190617	https://allafrica.com/stories/201906170165.html
