844257726	20190510	201905	2019	2019.3562	IRN	TEHRAN	IRN																		1	163	163	16	4	-8.0	7	1	7	-5.52763819095478	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190510	https://www.ny1.com/nyc/all-boroughs/ap-top-news/2019/05/09/us-sanctions-to-hit-irans-metals-industry-a-major-employer
844289654	20190510	201905	2019	2019.3562	MNCKOR	SAMSUNG	KOR					MNC													1	138	138	13	3	-7.0	10	1	10	-3.3596837944664	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190510	https://www.scmagazineuk.com/samsung-private-gitlab-tokens-exposed-including-source-code-credentials-secret-keys/article/1584224
844301799	20190510	201905	2019	2019.3562											LAB	WORKER						LAB			0	130	130	13	3	-4.4	10	1	10	-2.10526315789473	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190510	https://www.thenational.ae/uae/embassy-shares-sorrow-of-indian-workers-lured-to-uae-by-devious-recruitment-agents-1.859464
844325792	20190510	201905	2019	2019.3562	QAT	QATAR	QAT								IRN	IRAN	IRN								1	1383	138	13	3	-7.0	40	4	40	-2.22292579602511	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190510	https://www.wjhl.com/news/us-b52-bombers-land-in-qatar-over-unspecified-iran-threat/1993878441
844330507	20190510	201905	2019	2019.3562	ARE	DUBAI	ARE								MIL	AIRCRAFT CARRIER						MIL			1	138	138	13	3	-7.0	20	2	20	-3.15038759689922	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Isfahan, Esfahan, Iran	IR	IR28	32.6597	51.6714	6013426	4	Isfahan, Esfahan, Iran	IR	IR28	32.6597	51.6714	6013426	20190510	https://finance.yahoo.com/news/iran-cleric-says-u-fleet-125201054.html
844333524	20190510	201905	2019	2019.3562	ARE	DUBAI	ARE								GOVMED	SEMI OFFICIAL						GOV	MED		1	138	138	13	3	-7.0	30	3	30	-2.51911068044789	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Isfahan, Esfahan, Iran	IR	IR28	32.6597	51.6714	6013426	4	Isfahan, Esfahan, Iran	IR	IR28	32.6597	51.6714	6013426	20190510	https://uk.reuters.com/article/uk-usa-iran-cleric/iran-cleric-says-u-s-fleet-can-be-destroyed-with-one-missile-isna-news-agency-idUKKCN1SG1DM
844341901	20190510	201905	2019	2019.3562	USA	UNITED STATES	USA																		0	138	138	13	3	-7.0	2	1	2	-5.83232077764277	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	United Arab Emirates	AE	AE	24	54	AE	20190510	https://www.dailymail.co.uk/wires/afp/article-6993837/Blacklisting-Muslim-Brotherhood-radicalise-members-analysts.html
844361489	20190510	201905	2019	2019.3562	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	161	161	16	4	-4.0	2	1	2	-4.12147505422994	1	United Arab Emirates	AE	AE	24	54	AE	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	1	Egypt	EG	EG	27	30	EG	20190510	https://www.presstv.com/Detail/2019/05/10/595596/Hajj-Qatar-Saudi-Arabia-restrictions-Mecca-Medina
844406721	20190510	201905	2019	2019.3562	USAGOV	THE US	USA					GOV			USA	THE US	USA								0	138	138	13	3	-7.0	10	1	10	-0.34423407917384	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190510	https://www.islamicity.org/19694/trump-administration-and-the-muslim-brotherhood/
844410290	20190510	201905	2019	2019.3562	ARE	DUBAI	ARE								MIL	AIRCRAFT CARRIER						MIL			0	138	138	13	3	-7.0	4	1	4	-2.73584905660377	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Iran	IR	IR	32	53	IR	1	Iran	IR	IR	32	53	IR	20190510	http://freerepublic.com/tag/*/index?more=3748390
