855261579	20190627	201906	2019	2019.4849	OMN	OMAN	OMN																		1	1384	138	13	3	-7.0	8	2	8	-4.23073423710308	1	Oman	MU	MU	21	57	MU	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190627	https://muscatdaily.com/Archive/Oman/Indian-NGO-offers-helping-hand-in-times-of-distress-5eq4
855268351	20190627	201906	2019	2019.4849	LAB	WORKER						LAB													1	160	160	16	4	-4.0	10	1	10	-5.55555555555555	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	0							4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190627	https://menafn.com/1098692084/Duo-set-car-ablaze-to-steal-Dh4000-from-colleagues-in-UAE
855285613	20190627	201906	2019	2019.4849	IGOEUREEC	EUROPEAN COMMISSION	EUR	EEC				IGO			OMN	OMAN	OMN								0	130	130	13	3	-4.4	1	1	1	-4.78424015009381	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	1	Japan	JA	JA	36	138	JA	20190627	https://www.dailymail.co.uk/wires/ap/article-7146485/Saudi-crown-prince-says-kingdom-isnt-seeking-war-region.html
855285710	20190627	201906	2019	2019.4849	JPN	JAPANESE	JPN								OMN	OMAN	OMN								0	130	130	13	3	-4.4	1	1	1	-4.78424015009381	1	Japan	JA	JA	36	138	JA	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	1	Japan	JA	JA	36	138	JA	20190627	https://www.dailymail.co.uk/wires/ap/article-7146485/Saudi-crown-prince-says-kingdom-isnt-seeking-war-region.html
855288490	20190627	201906	2019	2019.4849	SAUGOV	SAUDI ARABIA	SAU					GOV			GOV	KINGDOM						GOV			0	130	130	13	3	-4.4	6	1	6	-4.97392046566983	1	Saudi Arabia	SA	SA	25	45	SA	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190627	http://www.msn.com/en-gb/news/world/a-breakdown-of-whats-at-stake-in-us-iran-crisis/ar-AADtJsp
855289685	20190627	201906	2019	2019.4849	ARE	UNITED ARAB EMIRATES	ARE								USA	UNITED STATES	USA								0	130	130	13	3	-4.4	1	1	1	0.27932960893855	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190627	https://www.jpost.com/Breaking-News/Iran-warns-US-of-stronger-reaction-if-its-borders-violated-again-Tasnim-593850
855289686	20190627	201906	2019	2019.4849	ARE	DUBAI	ARE								USA	UNITED STATES	USA								0	130	130	13	3	-4.4	2	1	2	0.27932960893855	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190627	https://www.jpost.com/Breaking-News/Iran-warns-US-of-stronger-reaction-if-its-borders-violated-again-Tasnim-593850
855390845	20190627	201906	2019	2019.4849											ARE	EMIRATI	ARE								1	1383	138	13	3	-7.0	4	1	4	-6.56455142231948	0							4	Beirut, Beyrouth, Lebanon	LE	LE04	33.8719	35.5097	-801546	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190627	https://www.khaleejtimes.com/news/crime-and-courts/man-gets-suspended-jail-term-for-threatening-to-blow-up-mothers-villa
855467925	20190627	201906	2019	2019.4849	MUS	MAURITIUS	MUS								ARE	DUBAI	ARE								1	130	130	13	3	-4.4	8	1	8	-5.35714285714286	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Switzerland	SZ	SZ	47	8	SZ	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190627	https://www.offshorealert.com/bearbull-global-investments-group-geode-group-mauritius-fsc-investor-alert.aspx
855467926	20190627	201906	2019	2019.4849	MUS	MAURITIUS	MUS								ARE	DUBAI	ARE								1	130	130	13	3	-4.4	2	1	2	-5.35714285714286	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Switzerland	SZ	SZ	47	8	SZ	1	Switzerland	SZ	SZ	47	8	SZ	20190627	https://www.offshorealert.com/bearbull-global-investments-group-geode-group-mauritius-fsc-investor-alert.aspx
855467927	20190627	201906	2019	2019.4849	MUS	MAURITIUS	MUS								ARE	ABU DHABI	ARE								1	130	130	13	3	-4.4	3	1	3	-5.35714285714286	1	Mauritius	MP	MP	16	146	MP	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	1	Mauritius	MP	MP	16	146	MP	20190627	https://www.offshorealert.com/bearbull-global-investments-group-geode-group-mauritius-fsc-investor-alert.aspx
