855557271	20190628	201906	2019	2019.4877	AREGOV	UNITED ARAB EMIRATES	ARE					GOV			USA	UNITED STATES	USA								1	161	161	16	4	-4.0	2	1	2	1.61637931034483	1	United Arab Emirates	AE	AE	24	54	AE	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Arab Emirates	AE	AE	24	54	AE	20190628	https://blogs.timesofisrael.com/the-bahrain-workshop-in-retrospect/
855558272	20190628	201906	2019	2019.4877	PSE	PALESTINIAN	PSE								JOR	JORDAN	JOR								1	163	163	16	4	-8.0	2	1	2	1.61637931034483	1	United Arab Emirates	AE	AE	24	54	AE	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	20190628	https://blogs.timesofisrael.com/the-bahrain-workshop-in-retrospect/
855579283	20190628	201906	2019	2019.4877	GOV	CONSULATE						GOV			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-4.7457627118644	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190628	https://www.khaleejtimes.com/nation/dubai/four-indian-female-workers-rescued-from-dubai
855579284	20190628	201906	2019	2019.4877	GOV	CONSULATE						GOV			ARE	DUBAI	ARE								1	130	130	13	3	-4.4	8	1	8	-4.7457627118644	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	11	78	-2112557	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190628	https://www.khaleejtimes.com/nation/dubai/four-indian-female-workers-rescued-from-dubai
855595237	20190628	201906	2019	2019.4877	ARE	UNITED ARAB EMIRATES	ARE																		0	130	130	13	3	-4.4	2	1	2	-2.35457063711912	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	0							4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20190628	https://www.monitor.co.ug/OpEd/Commentary/Why-sub-standard-mosquito-nets-continue-flooding-market/689364-5174972-p39k8j/
855595241	20190628	201906	2019	2019.4877	ARE	UNITED ARAB EMIRATES	ARE								UGA	UGANDA	UGA								0	163	163	16	4	-8.0	4	1	4	-2.35457063711912	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Kampala, Kampala, Uganda	UG	UG37	0.315556	32.5656	-1728891	4	Kampala, Kampala, Uganda	UG	UG37	0.315556	32.5656	-1728891	20190628	https://www.monitor.co.ug/OpEd/Commentary/Why-sub-standard-mosquito-nets-continue-flooding-market/689364-5174972-p39k8j/
855595900	20190628	201906	2019	2019.4877	GOVHLH	MINIST OF HEALTH						GOV	HLH												0	130	130	13	3	-4.4	1	1	1	-2.35457063711912	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	0							4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20190628	https://www.monitor.co.ug/OpEd/Commentary/Why-sub-standard-mosquito-nets-continue-flooding-market/689364-5174972-p39k8j/
855595902	20190628	201906	2019	2019.4877	GOVHLH	MINIST OF HEALTH						GOV	HLH		UGA	UGANDA	UGA								0	163	163	16	4	-8.0	6	1	6	-2.35457063711912	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Kampala, Kampala, Uganda	UG	UG37	0.315556	32.5656	-1728891	4	Kampala, Kampala, Uganda	UG	UG37	0.315556	32.5656	-1728891	20190628	https://www.monitor.co.ug/OpEd/Commentary/Why-sub-standard-mosquito-nets-continue-flooding-market/689364-5174972-p39k8j/
855651517	20190628	201906	2019	2019.4877	JPN	JAPANESE	JPN								OMN	OMAN	OMN								0	130	130	13	3	-4.4	2	1	1	-3.93738140417457	1	Japan	JA	JA	36	138	JA	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	1	Japan	JA	JA	36	138	JA	20190628	https://www.dailymail.co.uk/wires/ap/article-7144731/UAE-Evidence-shows-tanker-attacks-state-sponsored.html
855707171	20190628	201906	2019	2019.4877	GOV	SECRETARY OF STATE						GOV			USA	UNITED STATES	USA								0	130	130	13	3	-4.4	6	1	6	-1.84331797235023	1	United Arab Emirates	AE	AE	24	54	AE	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20190628	https://www.heritagefl.com/story/2019/06/28/news/us-to-send-additional-1000-troops-to-mideast-in-reaction-to-iranian-threats/11746.html
