804257379	20181121	201811	2018	2018.8795	GOV	GOVERNMENT						GOV			LAB	EMPLOYEE						LAB			0	130	130	13	3	-4.4	10	1	10	6.84210526315789	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	http://gulfbusiness.com/sheikh-mohammed-uae-govt-workers-dont-accept-delays-excuses/
804281923	20181121	201811	2018	2018.8795											COP	POLICE						COP			1	130	130	13	3	-4.4	8	3	8	-3.92913047217683	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	https://www.hotnewhiphop.com/fat-joe-predicted-tekashi-6ix9ines-downfall-and-he-regrets-his-foresight-news.65020.html
804282097	20181121	201811	2018	2018.8795	ARE	UNITED ARAB EMIRATES	ARE								COP	POLICE						COP			1	130	130	13	3	-4.4	4	1	4	-3.27272727272728	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	https://www.hotnewhiphop.com/fat-joe-predicted-tekashi-6ix9ines-downfall-and-he-regrets-his-foresight-news.65020.html
804282102	20181121	201811	2018	2018.8795	ARE	DUBAI	ARE								IGOCOPITP	INTERPOL		ITP				IGO	COP		1	130	130	13	3	-4.4	2	1	2	-3.88945752302968	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	China	CH	CH	35	105	CH	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	https://www.stl.news/dubai-united-arab-emirates-the-latest-germany-cautions-against-politicizing-interpol/214849/
804282103	20181121	201811	2018	2018.8795	ARE	UNITED ARAB EMIRATES	ARE								IGOCOPITP	INTERPOL		ITP				IGO	COP		1	130	130	13	3	-4.4	5	1	5	-3.88945752302968	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20181121	https://www.stl.news/dubai-united-arab-emirates-the-latest-germany-cautions-against-politicizing-interpol/214849/
804282501	20181121	201811	2018	2018.8795	DEU	GERMANY	DEU								IGOCOPITP	INTERPOL		ITP				IGO	COP		1	130	130	13	3	-4.4	45	15	45	-3.91204614816024	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	https://www.fredericksburg.com/news/news-wire/the-latest-germany-cautions-against-politicizing-interpol/article_facbd5d6-9dac-5040-85f2-5ba2313e6662.html
804282502	20181121	201811	2018	2018.8795	DEU	GERMANY	DEU								IGOCOPITP	INTERPOL		ITP				IGO	COP		1	130	130	13	3	-4.4	15	15	15	-3.91204614816024	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20181121	https://www.fredericksburg.com/news/news-wire/the-latest-germany-cautions-against-politicizing-interpol/article_facbd5d6-9dac-5040-85f2-5ba2313e6662.html
804296025	20181121	201811	2018	2018.8795	DEU	GERMANY	DEU								IGOCOPITP	INTERPOL		ITP				IGO	COP		1	130	130	13	3	-4.4	4	1	4	-3.88548057259714	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Berlin, Berlin, Germany	GM	GM16	52.5167	13.4	-1746443	20181121	https://www.wbtw.com/news/world-news/the-latest-ukraine-hails-choice-for-president-of-interpol/1610744103
804313675	20181121	201811	2018	2018.8795	DEU	GERMANY	DEU								ARE	DUBAI	ARE								1	130	130	13	3	-4.4	3	1	3	-3.913491246138	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181121	http://accesswdun.com/article/2018/11/737346
804313676	20181121	201811	2018	2018.8795	DEU	GERMANY	DEU								ARE	DUBAI	ARE								1	130	130	13	3	-4.4	1	1	1	-3.913491246138	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	China	CH	CH	35	105	CH	1	China	CH	CH	35	105	CH	20181121	http://accesswdun.com/article/2018/11/737346
