843960435	20190509	201905	2019	2019.3534	ARE	DUBAI	ARE								GOV	PRESIDENT						GOV			0	139	139	13	3	-7.0	3	1	3	-2.0042194092827	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190509	https://www.michigansthumb.com/news/world/article/AP-EXPLAINS-Iran-s-nuclear-program-as-2015-deal-13827829.php
843993992	20190509	201905	2019	2019.3534	GOV	EMBASSY						GOV													1	130	130	13	3	-4.4	10	1	10	-3.39805825242718	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://gulfnews.com/uae/indian-embassy-issues-two-warnings-for-expats-in-uae-1.1557379567000
844005430	20190509	201905	2019	2019.3534	ARE	DUBAI	ARE																		1	160	160	16	4	-4.0	8	1	8	-6.89655172413793	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://www.ch-aviation.com/portal/news/77938-nejran-saudi-arabia-resumes-commercial-ops
844005431	20190509	201905	2019	2019.3534	ARE	UNITED ARAB EMIRATES	ARE																		1	160	160	16	4	-4.0	2	1	2	-6.89655172413793	1	Yemen	YM	YM	15.5	47.5	YM	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://www.ch-aviation.com/portal/news/77938-nejran-saudi-arabia-resumes-commercial-ops
844018496	20190509	201905	2019	2019.3534	GOV	EMBASSY						GOV													1	130	130	13	3	-4.4	70	6	70	-4.76545562919559	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	0							4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190509	http://www.mangalorean.com/indian-embassy-in-uae-urges-expats-to-report-salary-delay/
844035174	20190509	201905	2019	2019.3534	NGOHRIAMN	AMNESTY INTERNATIONAL		AMN				NGO	HRI												1	138	138	13	3	-7.0	6	1	6	-8.78378378378379	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190509	http://english.almanar.com.lb/732910
844037511	20190509	201905	2019	2019.3534	GOV	GOVERNANCE						GOV			BUS	INVESTOR						BUS			0	130	130	13	3	-4.4	3	1	3	-8.47201210287441	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://gulfnews.com/business/banking/board-of-directors-of-dubai-based-abraaj-comes-under-scrutiny-1.63818830
844056427	20190509	201905	2019	2019.3534	MNCUSA	BOEING	USA					MNC													1	160	160	16	4	-4.0	3	1	3	0	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://gulfnews.com/business/aviation/uae-gcaa-ban-on-boeing-737-8-stays-until-enough-information-is-gathered-1.1557401864537
844056428	20190509	201905	2019	2019.3534	MNCUSA	BOEING	USA					MNC													1	160	160	16	4	-4.0	1	1	1	0	4	Gulf News, Dubayy, United Arab Emirates	AE	AE03	25.1877	55.2529	11414118	0							4	Gulf News, Dubayy, United Arab Emirates	AE	AE03	25.1877	55.2529	11414118	20190509	https://gulfnews.com/business/aviation/uae-gcaa-ban-on-boeing-737-8-stays-until-enough-information-is-gathered-1.1557401864537
844056429	20190509	201905	2019	2019.3534	MNCUSA	BOEING	USA					MNC			ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	2	1	2	0	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190509	https://gulfnews.com/business/aviation/uae-gcaa-ban-on-boeing-737-8-stays-until-enough-information-is-gathered-1.1557401864537
