846403098	20190513	201905	2019	2019.3644	MED	NEWS AGENCY						MED			MIL	MILITARY						MIL			0	130	130	13	3	-4.4	259	21	259	-4.23468559519459	1	Yemen	YM	YM	15.5	47.5	YM	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	1	Yemen	YM	YM	15.5	47.5	YM	20190520	https://uk.reuters.com/article/uk-saudi-oil-emirates-tanker/trump-saudi-arabia-warn-iran-against-middle-east-conflict-idUKKCN1SP016
846403406	20190520	201905	2019	2019.3836	ARE	DUBAI	ARE																		1	160	160	16	4	-4.0	3	1	3	-2.7681660899654	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Jeddah, Makkah, Saudi Arabia	SA	SA14	21.5169	39.2192	-3096108	20190520	https://www.thenational.ae/business/energy/exxon-mobil-s-iraq-evacuation-only-temporary-says-oil-minister-1.863620
846403407	20190520	201905	2019	2019.3836	ARE	DUBAI	ARE																		1	160	160	16	4	-4.0	4	1	4	-2.7681660899654	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190520	https://www.thenational.ae/business/energy/exxon-mobil-s-iraq-evacuation-only-temporary-says-oil-minister-1.863620
846404909	20190520	201905	2019	2019.3836	SAU	SAUDI	SAU								IRN	IRAN	IRN								1	130	130	13	3	-4.4	4	1	4	-4.07079646017699	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190520	https://uk.reuters.com/article/uk-saudi-oil-emirates-tanker/trump-saudi-arabia-warn-iran-against-middle-east-conflict-idUKKCN1SP016
846404911	20190520	201905	2019	2019.3836	SAU	SAUDI	SAU								IRN	IRANIAN	IRN								1	130	130	13	3	-4.4	17	17	17	-5.03539908455277	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	1	Saudi Arabia	SA	SA	25	45	SA	20190520	https://www.middleeaststar.com/news/261086297/trump-fighting-the-us-will-be-official-end-of-iran
846405879	20190420	201904	2019	2019.3014	IGOBUSOPC	OPEC		OPC				IGO	BUS		GOV	KINGDOM						GOV			0	160	160	16	4	-4.0	68	8	68	-1.52595933832219	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190520	https://www.msn.com/en-za/news/other/opec-to-keep-oil-supply-constrained-all-year/ar-AABAUJl
846405880	20190420	201904	2019	2019.3014	IGOBUSOPC	OPEC		OPC				IGO	BUS		GOV	KINGDOM						GOV			0	160	160	16	4	-4.0	4	3	4	-1.54663423251864	1	Oman	MU	MU	21	57	MU	1	United Arab Emirates	AE	AE	24	54	AE	1	Oman	MU	MU	21	57	MU	20190520	https://www.msn.com/en-za/news/other/opec-to-keep-oil-supply-constrained-all-year/ar-AABAUJl
846406107	20190520	201905	2019	2019.3836	ARE	UNITED ARAB EMIRATES	ARE																		0	130	130	13	3	-4.4	40	7	40	-4.14940148344196	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	0							4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	20190520	https://www.reuters.com/article/saudi-oil-emirates-tanker/corrected-update-5-trump-saudi-arabia-warn-iran-against-middle-east-conflict-idUSL5N22V00R
846407026	20190520	201905	2019	2019.3836	MNCUSA	EXXON MOBIL	USA					MNC			IRQ	BASRA	IRQ								0	160	160	16	4	-4.0	2	1	2	-6.66666666666667	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	1	Saudi Arabia	SA	SA	25	45	SA	1	Saudi Arabia	SA	SA	25	45	SA	20190520	https://www.airforcetimes.com/news/your-navy/2019/05/18/as-tensions-rise-could-iran-mistake-airliners-for-warplanes/
846407111	20190520	201905	2019	2019.3836	OMN	OMAN	OMN																		0	130	130	13	3	-4.4	20	7	20	-4.14940148344196	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	0							4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	20190520	https://www.reuters.com/article/saudi-oil-emirates-tanker/corrected-update-5-trump-saudi-arabia-warn-iran-against-middle-east-conflict-idUSL5N22V00R
