846264399	20190519	201905	2019	2019.3808	USA	THE US	USA								GOV	EMBASSY						GOV			1	166	166	16	4	-7.0	5	1	5	-7.01754385964912	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Baghdad, Baghdad, Iraq	IZ	IZ07	33.3386	44.3939	-3103581	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	https://www.forexfactory.com/news.php?do=news&id=917579
846270834	20190519	201905	2019	2019.3808	ARE	UNITED ARAB EMIRATES	ARE								GOV	REGIME						GOV			0	1621	162	16	4	-5.6	12	2	12	-1.26811594202898	1	United Arab Emirates	AE	AE	24	54	AE	1	Turkey	TU	TU	39.059012	34.911546	TU	1	Turkey	TU	TU	39.059012	34.911546	TU	20190519	https://www.sott.net/article/413327-Venezuela-sells-570-million-from-gold-reserve-despite-sanctions
846271603	20190519	201905	2019	2019.3808	TUR	TURKEY	TUR								GOV	REGIME						GOV			0	1621	162	16	4	-5.6	4	2	4	-1.26811594202898	1	United Arab Emirates	AE	AE	24	54	AE	1	Turkey	TU	TU	39.059012	34.911546	TU	1	Turkey	TU	TU	39.059012	34.911546	TU	20190519	https://www.sott.net/article/413327-Venezuela-sells-570-million-from-gold-reserve-despite-sanctions
846276248	20190519	201905	2019	2019.3808	MNCUSA	EXXON MOBIL	USA					MNC			IRQ	IRAQ	IRQ								1	160	160	16	4	-4.0	6	1	6	-5.26315789473685	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Baghdad, Baghdad, Iraq	IZ	IZ07	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	33.3386	44.3939	-3103581	20190519	http://www.jordantimes.com/news/business/exxon-evacuates-foreign-staff-iraqi-oilfield-%E2%80%94-iraqi-official-sources
846276249	20190519	201905	2019	2019.3808	MNCUSA	EXXON MOBIL	USA					MNC			IRQ	IRAQ	IRQ								1	160	160	16	4	-4.0	4	1	4	-5.26315789473685	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Baghdad, Baghdad, Iraq	IZ	IZ07	33.3386	44.3939	-3103581	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	http://www.jordantimes.com/news/business/exxon-evacuates-foreign-staff-iraqi-oilfield-%E2%80%94-iraqi-official-sources
846279858	20190519	201905	2019	2019.3808	ARE	DUBAI	ARE								PGS	PERSIAN GULF	PGS								1	130	130	13	3	-4.4	19	1	19	-5.3500342183598	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	https://www.ksl.com/article/46554812/here-is-the-latest-news-from-the-associated-press-at-940-pm-edt
846279859	20190519	201905	2019	2019.3808	ARE	DUBAI	ARE								PGS	PERSIAN GULF	PGS								1	130	130	13	3	-4.4	2	1	2	-5.42635658914729	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	https://www.ksl.com/article/46554812/here-is-the-latest-news-from-the-associated-press-at-940-pm-edt
846280322	20190519	201905	2019	2019.3808	MNC	EXXON						MNC			IRQ	IRAQI	IRQ								1	160	160	16	4	-4.0	4	2	4	-2.61041077623992	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	https://www.heraldnet.com/nation-world/exxonmobil-employees-evacuating-oil-field-in-southern-iraq/
846284238	20190519	201905	2019	2019.3808	MNC	EXXON						MNC			IRQ	BASRA	IRQ								0	160	160	16	4	-4.0	2	1	2	-6.46766169154229	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	20190519	https://www.kansascity.com/news/business/national-international/article230560034.html
846293445	20190519	201905	2019	2019.3808	ARE	DUBAI	ARE								PGS	PERSIAN GULF	PGS								1	130	130	13	3	-4.4	2	1	2	-4.85933503836318	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190519	https://www.ksl.com/article/46554812/here-is-the-latest-news-from-the-associated-press-at-1140-pm-edt
