785183130	20180907	201809	2018	2018.6767	GBR	BRITISH	GBR								GBRCVL	UNITED KINGDOM	GBR					CVL			1	130	130	13	3	-4.4	4	1	4	-5.81395348837209	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180907	https://www.standard.co.uk/news/uk/brits-warned-they-could-be-jailed-if-they-drink-alcohol-on-flights-to-the-middle-east-after-mum-a3929786.html
785183298	20180907	201809	2018	2018.6767	GOVHLH	HEALTH OFFICIAL						GOV	HLH		USA	PHILADELPHIA	USA								1	130	130	13	3	-4.4	5	1	5	-3.52941176470589	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	20180907	http://celebcafe.org/plane-lands-in-ny-with-10-ill-passengers-6193/
785185922	20180907	201809	2018	2018.6767	GBR	BRITON	GBR								ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	28	3	28	-4.38955407748249	4	Sharjah, Ash Shariqah, United Arab Emirates	AE	AE06	25.3573	55.4033	-782371	4	Sharjah, Ash Shariqah, United Arab Emirates	AE	AE06	25.3573	55.4033	-782371	4	Sharjah, Ash Shariqah, United Arab Emirates	AE	AE06	25.3573	55.4033	-782371	20180907	https://www.mirror.co.uk/news/uk-news/booze-warning-brits-dubai-after-13205897
785197247	20180907	201809	2018	2018.6767	ARE	UNITED ARAB EMIRATES	ARE								GBR	UNITED KINGDOM	GBR								1	130	130	13	3	-4.4	2	1	2	-4.69924812030075	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	4	British Embassy, Dubayy, United Arab Emirates	AE	AE03	25.2612	55.307	11427562	20180907	https://www.express.co.uk/travel/articles/1014322/dubai-news-alcohol-ban-flights-illegal-drinks
785197248	20180907	201809	2018	2018.6767	ARE	UNITED ARAB EMIRATES	ARE								GBR	UNITED KINGDOM	GBR								1	130	130	13	3	-4.4	2	1	2	-4.69924812030075	4	British Embassy, Dubayy, United Arab Emirates	AE	AE03	25.2612	55.307	11427562	1	United Kingdom	UK	UK	54	-4	UK	4	British Embassy, Dubayy, United Arab Emirates	AE	AE03	25.2612	55.307	11427562	20180907	https://www.express.co.uk/travel/articles/1014322/dubai-news-alcohol-ban-flights-illegal-drinks
785197652	20180907	201809	2018	2018.6767	GBRGOV	BRITISH	GBR					GOV			GBR	BRITON	GBR								1	130	130	13	3	-4.4	6	1	6	-4.69924812030075	4	British Embassy, Dubayy, United Arab Emirates	AE	AE03	25.2612	55.307	11427562	1	United Kingdom	UK	UK	54	-4	UK	4	British Embassy, Dubayy, United Arab Emirates	AE	AE03	25.2612	55.307	11427562	20180907	https://www.express.co.uk/travel/articles/1014322/dubai-news-alcohol-ban-flights-illegal-drinks
785212453	20180907	201809	2018	2018.6767											GOV	CONSULATE						GOV			1	130	130	13	3	-4.4	10	2	10	-6.08999383603862	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180907	https://www.independent.co.uk/travel/news-and-advice/dubai-flights-alcohol-uk-travellers-warning-united-arab-emirates-facebook-a8526826.html
785213102	20180907	201809	2018	2018.6767	GBR	BRITISH	GBR								GBRCVL	BRITISH	GBR					CVL			1	130	130	13	3	-4.4	12	2	12	-6.08999383603862	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20180907	https://www.independent.co.uk/travel/news-and-advice/dubai-flights-alcohol-uk-travellers-warning-united-arab-emirates-facebook-a8526826.html
785213136	20180907	201809	2018	2018.6767	GBRCVL	UNITED KINGDOM	GBR					CVL			GBR	BRITISH	GBR								1	130	130	13	3	-4.4	4	2	4	-6.08999383603862	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20180907	https://www.independent.co.uk/travel/news-and-advice/dubai-flights-alcohol-uk-travellers-warning-united-arab-emirates-facebook-a8526826.html
785213137	20180907	201809	2018	2018.6767	GBRCVL	UNITED KINGDOM	GBR					CVL			GBR	BRITISH	GBR								1	130	130	13	3	-4.4	4	2	4	-6.08999383603862	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20180907	https://www.independent.co.uk/travel/news-and-advice/dubai-flights-alcohol-uk-travellers-warning-united-arab-emirates-facebook-a8526826.html
