872779179	20190915	201909	2019	2019.6986	AREGOV	UNITED ARAB EMIRATES	ARE					GOV			GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	2	1	2	-1.33630289532294	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	20190915	https://www.khaleejtimes.com/news/government/sheikh-mohammeds-warning-to-uaes-worst-service-centres-
872779180	20190915	201909	2019	2019.6986	AREGOV	DUBAI	ARE					GOV			GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	6	1	6	-1.33630289532294	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	20190915	https://www.khaleejtimes.com/news/government/sheikh-mohammeds-warning-to-uaes-worst-service-centres-
872779181	20190915	201909	2019	2019.6986	AREGOV	DUBAI	ARE					GOV			GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	2	1	2	-1.33630289532294	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	4	Ajman, Ajman, United Arab Emirates	AE	AE02	25.4069	55.4441	-782102	20190915	https://www.khaleejtimes.com/news/government/sheikh-mohammeds-warning-to-uaes-worst-service-centres-
872780925	20190915	201909	2019	2019.6986	SAU	SAUDI ARABIA	SAU								GOV	ENERGY MINIST						GOV			1	160	160	16	4	-4.0	4	2	4	-3.91394472096627	4	Abqaiq, Ash Sharqiyah, Saudi Arabia	SA	SA06	25.9371	49.6776	-3094116	4	Abqaiq, Ash Sharqiyah, Saudi Arabia	SA	SA06	25.9371	49.6776	-3094116	1	United Arab Emirates	AE	AE	24	54	AE	20190915	https://www.globalsecurity.org/wmd/library/news/iran/2019/iran-190914-presstv02.htm
872780926	20190915	201909	2019	2019.6986	SAU	SAUDI ARABIA	SAU								GOV	ENERGY MINIST						GOV			1	160	160	16	4	-4.0	2	2	2	-3.91394472096627	4	Abqaiq, Ash Sharqiyah, Saudi Arabia	SA	SA06	25.9371	49.6776	-3094116	1	United Arab Emirates	AE	AE	24	54	AE	4	Abqaiq, Ash Sharqiyah, Saudi Arabia	SA	SA06	25.9371	49.6776	-3094116	20190915	https://www.globalsecurity.org/wmd/library/news/iran/2019/iran-190914-presstv02.htm
872806655	20190915	201909	2019	2019.6986											EUR	EUROPE	EUR								1	130	130	13	3	-4.4	6	1	6	-4.34258142340169	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190915	https://www.union-bulletin.com/news/world/iran-injects-gas-into-advanced-centrifuges-violating-deal/article_e818442d-b76a-550c-a5c8-de038777e353.html
872807092	20190915	201909	2019	2019.6986	IRN	IRAN	IRN								EUR	EUROPE	EUR								1	130	130	13	3	-4.4	2	1	2	-4.34258142340169	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190915	https://www.union-bulletin.com/news/world/iran-injects-gas-into-advanced-centrifuges-violating-deal/article_e818442d-b76a-550c-a5c8-de038777e353.html
872811501	20190915	201909	2019	2019.6986											GOV	GOVERNMENT OFFICIAL						GOV			1	130	130	13	3	-4.4	10	1	10	-0.32786885245902	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190915	https://whatson.ae/dubai/2019/09/sheikh-mohammed-reveals-top-performing-government-service-centres/
872833309	20190915	201909	2019	2019.6986	YEM	YEMEN	YEM								REB	REBEL						REB			1	160	160	16	4	-4.0	4	2	4	-6.26398558622684	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190915	https://accesswdun.com/article/2019/9/832457
872833316	20190915	201909	2019	2019.6986	YEM	YEMEN	YEM								SAU	SAUDI ARABIA	SAU								1	160	160	16	4	-4.0	4	2	4	-6.26398558622684	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190915	https://accesswdun.com/article/2019/9/832457
872833317	20190915	201909	2019	2019.6986	YEM	YEMEN	YEM								SAU	SAUDI ARABIA	SAU								1	160	160	16	4	-4.0	8	2	8	-6.26398558622684	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190915	https://accesswdun.com/article/2019/9/832457
