851668363	20190612	201906	2019	2019.4438	ARE	DUBAI	ARE								SAU	SAUDI	SAU								1	130	130	13	3	-4.4	16	2	16	-8.35654596100282	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Khamis Mushait, Saudi Arabia (general), Saudi Arabia	SA	SA00	18.3064	42.7292	-3096384	4	Sanaa, Sana', Yemen	YM	YM16	15.3547	44.2067	-3191442	20190612	https://www.thetelegraph.com/news/world/article/Yemen-s-Houthi-rebels-launch-attack-drones-into-13967032.php
851690836	20190513	201905	2019	2019.3644	ARE	UNITED ARAB EMIRATES	ARE								SAU	SAUDI ARABIA	SAU								1	1312	131	13	3	-5.8	6	1	6	0	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	1	China	CH	CH	35	105	CH	20190612	https://matzav.com/white-house-egypt-jordan-and-morocco-to-attend-bahrain-summit/
851690857	20190513	201905	2019	2019.3644	SAU	SAUDI ARABIA	SAU								ARE	UNITED ARAB EMIRATES	ARE								1	1312	131	13	3	-5.8	6	1	6	0	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	China	CH	CH	35	105	CH	20190612	https://matzav.com/white-house-egypt-jordan-and-morocco-to-attend-bahrain-summit/
851728710	20190612	201906	2019	2019.4438											afa	AFRICANS			afa						1	130	130	13	3	-4.4	10	1	10	-2.70270270270271	0							4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20190612	https://www.ripplesnigeria.com/nlc-warns-against-maltreatment-of-africans-in-uae/
851770549	20190612	201906	2019	2019.4438	ARE	DUBAI	ARE								FRA	FRANCE	FRA								0	160	160	16	4	-4.0	14	1	14	-2.99145299145299	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	France	FR	FR	46	2	FR	1	Spain	SP	SP	40	-4	SP	20190612	https://www.express.co.uk/travel/articles/1139442/cyclone-india-vayu-2019-travel-warning-fco-is-it-safe
851774890	20190612	201906	2019	2019.4438	MIL	MILITARY SPOKESMAN						MIL			SAU	SAUDI ARABIA	SAU								0	130	130	13	3	-4.4	16	4	16	-7.51374352243827	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	1	Saudi Arabia	SA	SA	25	45	SA	20190612	https://www.daily-sun.com/post/398778/Houthi-missile-attack-on-Saudi-airport-injures-26
851779784	20190612	201906	2019	2019.4438	ARE	DUBAI	ARE																		1	130	130	13	3	-4.4	20	2	20	0.597611933191271	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190612	http://www.gdnonline.com/Details/553983
851786118	20190612	201906	2019	2019.4438	ARE	UNITED ARAB EMIRATES	ARE								CVL	TENANTS						CVL			0	130	130	13	3	-4.4	1	1	1	-3.0448717948718	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190612	https://www.arabianbusiness.com/news/421898-motor-city-residents-urged-to-report-cooling-issues-to-dubai-police
851787012	20190612	201906	2019	2019.4438	JORELI	HASSAN	JOR					ELI			CVL	TENANTS						CVL			0	130	130	13	3	-4.4	4	1	4	-3.0448717948718	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190612	https://www.arabianbusiness.com/news/421898-motor-city-residents-urged-to-report-cooling-issues-to-dubai-police
851793832	20190612	201906	2019	2019.4438	YEM	YEMEN	YEM								SAU	SAUDI ARABIA	SAU								1	138	138	13	3	-7.0	2	1	2	-6.58682634730539	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190612	http://www.xinhuanet.com/english/2019-06/12/c_138137607.htm
