853596207	20190620	201906	2019	2019.4658	MIL	ARMY						MIL			EDU	COLLEGE						EDU			1	164	164	16	4	-7.0	8	2	8	-7.24044800553001	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190620	https://www.jns.org/talk-at-us-army-war-college-postponed-due-to-influence-by-cair/
853596593	20190620	201906	2019	2019.4658	USA	UNITED STATES	USA																		1	164	164	16	4	-7.0	4	2	4	-7.24044800553001	1	United Arab Emirates	AE	AE	24	54	AE	0							3	Army War College, District of Columbia, United States	US	USDC	38.8634	-77.0169	531541	20190620	https://www.jns.org/talk-at-us-army-war-college-postponed-due-to-influence-by-cair/
853596594	20190620	201906	2019	2019.4658	USA	UNITED STATES	USA																		1	164	164	16	4	-7.0	4	2	4	-7.24044800553001	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190620	https://www.jns.org/talk-at-us-army-war-college-postponed-due-to-influence-by-cair/
853608939	20190620	201906	2019	2019.4658	GOV	SECRETARY OF STATE						GOV			USA	UNITED STATES	USA								0	130	130	13	3	-4.4	3	1	3	-1.85185185185185	1	United Arab Emirates	AE	AE	24	54	AE	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20190620	http://www.jewishaz.com/us_worldnews/world/us-to-send-additional-troops-to-mideast-in-reaction-to/article_e1adf53a-92e5-11e9-8b81-2fa4737039fb.html
853628481	20190620	201906	2019	2019.4658	MNCUSA	EXXON	USA					MNC			ARE	DUBAI	ARE								0	160	160	16	4	-4.0	10	1	10	-5.13595166163141	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190620	https://menafn.com/1098661009/Rocket-hits-site-of-foreign-oil-firms-in-Iraqs-Basra-three-hurt
853630841	20190620	201906	2019	2019.4658	LAB	WORKER						LAB			ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	1	1	1	-10.2857142857143	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190620	https://original.antiwar.com/updates/2019/06/19/iraq-daily-roundup-attacks-on-foreign-targets-continue-six-killed/
853630849	20190620	201906	2019	2019.4658	LAB	WORKER						LAB			MNC	EXXON						MNC			1	160	160	16	4	-4.0	1	1	1	-10.2857142857143	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190620	https://original.antiwar.com/updates/2019/06/19/iraq-daily-roundup-attacks-on-foreign-targets-continue-six-killed/
853656367	20190620	201906	2019	2019.4658	ARE	DUBAI	ARE								IRN	TEHRAN	IRN								1	130	130	13	3	-4.4	10	1	10	1.20481927710844	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190620	https://www.jpost.com/Breaking-News/Irans-IRGC-says-downing-of-US-drone-carried-a-message-to-Washington-593100
853682483	20190620	201906	2019	2019.4658	IRN	IRAN	IRN								SAU	SAUDI ARABIA	SAU								1	130	130	13	3	-4.4	4	4	4	-3.34795321637427	1	United Arab Emirates	AE	AE	24	54	AE	1	Iran	IR	IR	32	53	IR	1	United Arab Emirates	AE	AE	24	54	AE	20190620	https://www.usatoday.com/story/news/world/2019/06/20/saudi-weapons-sale-senates-to-vote-block-trump-administrations-planned-deal-un-report-jamalkhashoggi/1505310001/
853703487	20190620	201906	2019	2019.4658	IRN	IRAN	IRN								SAU	SAUDI ARABIA	SAU								1	130	130	13	3	-4.4	3	2	3	-3.68946793755718	1	Iran	IR	IR	32	53	IR	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	20190620	https://news.yahoo.com/senate-vote-measures-blocking-trump-100011375.html
853706492	20190620	201906	2019	2019.4658	IRN	IRAN	IRN								UAF	TERRORIST						UAF			1	160	160	16	4	-4.0	2	1	2	-4.82093663911846	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	4	Gulf Of Oman, United Arab Emirates (general), United Arab Emirates	AE	AE00	25.2264	56.4921	-783875	20190620	https://guardian.ng/news/world/iran-says-shot-down-us-drone-over-its-territory/
853712525	20190620	201906	2019	2019.4658	EGY	EGYPT	EGY								MOS	MUSLIM				MOS					0	160	160	16	4	-4.0	5	1	5	-4.92845786963434	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190620	http://www.pravdareport.com/world/142473-morsi/
853727899	20190620	201906	2019	2019.4658	YEMUAF	YEMENI	YEM					UAF			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-5.25477707006369	4	Sanaa, Sana', Yemen	YM	YM16	15.3547	44.2067	-3191442	1	United Arab Emirates	AE	AE	24	54	AE	4	Khamis Mushait, Saudi Arabia (general), Saudi Arabia	SA	SA00	18.3064	42.7292	-3096384	20190620	https://en.shafaqna.com/98979/yemens-warning-for-saudi-uae-to-stop-aggression-or-expect-surprises/
