868267766	20190826	201908	2019	2019.6466	PAK	ISLAMABAD	PAK								ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	10	1	10	-0.201612903225807	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	1	United Arab Emirates	AE	AE	24	54	AE	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	20190826	https://www.thenews.com.pk/print/517328-decorating-kashmiris-killer-sanjrani-cancels-visit-to-uae
868267767	20190826	201908	2019	2019.6466	PAK	ISLAMABAD	PAK								ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	12	1	12	-0.201612903225807	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190826	https://www.thenews.com.pk/print/517328-decorating-kashmiris-killer-sanjrani-cancels-visit-to-uae
868290358	20190826	201908	2019	2019.6466	PAK	PAKISTAN	PAK								ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	2	1	2	-0.60483870967742	4	Kashmiri, Punjab, Pakistan	PK	PK04	32.0387	73.751	6104745	1	United Arab Emirates	AE	AE	24	54	AE	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	20190826	https://www.thenews.com.pk/print/517663-sanjrani-cancels-visit-after-uae-decorates-kashmiris-killer
868290360	20190826	201908	2019	2019.6466	PAK	PAKISTAN	PAK								ARE	UNITED ARAB EMIRATES	ARE								1	160	160	16	4	-4.0	3	1	3	-0.68027210884354	4	Sanjrani, Punjab, Pakistan	PK	PK04	29.1853	71.431	6134685	1	United Arab Emirates	AE	AE	24	54	AE	4	Sanjrani, Punjab, Pakistan	PK	PK04	29.1853	71.431	6134685	20190826	https://www.thenews.com.pk/print/517518-sanjrani-cancels-uae-visit-after-modi-award
868309216	20190826	201908	2019	2019.6466											kas	KASHMIRI			kas						0	130	130	13	3	-4.4	4	1	4	-0.581395348837201	0							4	Kashmiri, Punjab, Pakistan	PK	PK04	32.0387	73.751	6104745	1	United Arab Emirates	AE	AE	24	54	AE	20190826	https://www.yenisafak.com/en/world/thousands-rally-in-pakistan-in-solidarity-with-kashmir-3498986
868337795	20190826	201908	2019	2019.6466	LEG	SENATE						LEG			ARE	UNITED ARAB EMIRATES	ARE								0	160	160	16	4	-4.0	3	1	3	0	4	Jammu, Jammu and Kashmir, India	IN	IN12	32.7333	74.8667	-2098228	1	United Arab Emirates	AE	AE	24	54	AE	4	Sanjrani, Punjab, Pakistan	PK	PK04	29.1853	71.431	6134685	20190826	http://www.indiablooms.com/world-details/SA/21150/kashmir-divide-pakistan-fm-qureshi-criticises-pak-senate-chairman-cancelling-uae-visit-over-honouring-modi.html
868412636	20190826	201908	2019	2019.6466	CVL	SETTLEMENT						CVL			IND	KERALA	IND								1	164	164	16	4	-7.0	4	1	4	-3.1634446397188	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190826	https://www.khaleejtimes.com/news/general/talks-for-out-of-court-settlement-fail-for-kerala-politician-arrested-in-uae
868412637	20190826	201908	2019	2019.6466	CVL	SETTLEMENT						CVL			INDPTY	KERALA	IND								1	164	164	16	4	-7.0	2	1	2	-3.1634446397188	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190826	https://www.khaleejtimes.com/news/general/talks-for-out-of-court-settlement-fail-for-kerala-politician-arrested-in-uae
868412650	20190826	201908	2019	2019.6466	CVL	SETTLEMENT						CVL			PTY	POLITICIAN									1	164	164	16	4	-7.0	4	1	4	-3.1634446397188	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190826	https://www.khaleejtimes.com/news/general/talks-for-out-of-court-settlement-fail-for-kerala-politician-arrested-in-uae
868478938	20190826	201908	2019	2019.6466	ARE	UNITED ARAB EMIRATES	ARE								REL	RELIGION									0	160	160	16	4	-4.0	1	1	1	0.95478798090424	4	Rome, Lazio, Italy	IT	IT07	41.9	12.4833	-126693	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20190826	https://www.lifesitenews.com/news/bishop-schneider-vatican-is-betraying-jesus-christ-as-the-only-savior-of-mankind
