797039264	20181024	201810	2018	2018.8055	ARE	UNITED ARAB EMIRATES	ARE								USA	THE US	USA								1	130	130	13	3	-4.4	2	1	2	-3.49206349206349	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20181024	https://gulfnews.com/news/uae/health/banned-uae-prohibits-contaminated-flu-jet-lag-supplements-1.2293083
797039469	20181024	201810	2018	2018.8055	COP	DEPUTY						COP			USA	THE US	USA								1	130	130	13	3	-4.4	8	1	8	-3.49206349206349	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20181024	https://gulfnews.com/news/uae/health/banned-uae-prohibits-contaminated-flu-jet-lag-supplements-1.2293083
797039488	20181024	201810	2018	2018.8055	CVL	RESIDENTS						CVL													1	130	130	13	3	-4.4	10	1	10	-3.49206349206349	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	0							4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20181024	https://gulfnews.com/news/uae/health/banned-uae-prohibits-contaminated-flu-jet-lag-supplements-1.2293083
797039727	20181024	201810	2018	2018.8055	GOV	MINISTRY						GOV													1	130	130	13	3	-4.4	10	1	10	-3.49206349206349	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	0							4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20181024	https://gulfnews.com/news/uae/health/banned-uae-prohibits-contaminated-flu-jet-lag-supplements-1.2293083
797039831	20181024	201810	2018	2018.8055	GOVHLH	MINIST OF HEALTH						GOV	HLH		ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-3.49206349206349	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	25.2501	55.303	11412391	20181024	https://gulfnews.com/news/uae/health/banned-uae-prohibits-contaminated-flu-jet-lag-supplements-1.2293083
797069189	20181024	201810	2018	2018.8055	AREMED	UNITED ARAB EMIRATES	ARE					MED													1	134	134	13	3	-5.8	2	1	2	-3.72208436724565	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181024	https://www.financialexpress.com/india-news/haryana-bjp-leader-received-extortion-calls-from-cm-manohar-lal-khattars-office-landline-read-what-happened-next/1359489/
797069793	20181024	201810	2018	2018.8055	INDGOV	HARYANA	IND					GOV			AREMED	UNITED ARAB EMIRATES	ARE					MED			1	134	134	13	3	-5.8	2	1	2	-3.72208436724565	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181024	https://www.financialexpress.com/india-news/haryana-bjp-leader-received-extortion-calls-from-cm-manohar-lal-khattars-office-landline-read-what-happened-next/1359489/
797069948	20181024	201810	2018	2018.8055	MED	MEDIA						MED													1	134	134	13	3	-5.8	6	1	6	-3.72208436724565	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181024	https://www.financialexpress.com/india-news/haryana-bjp-leader-received-extortion-calls-from-cm-manohar-lal-khattars-office-landline-read-what-happened-next/1359489/
797097571	20181024	201810	2018	2018.8055											ARE	DUBAI	ARE								1	130	130	13	3	-4.4	5	1	5	4.88058151609553	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20181024	https://www.dailymail.co.uk/tvshowbiz/article-6310949/Scarlett-Moffatt-jets-11TH-holiday-year.html
797097572	20181024	201810	2018	2018.8055											ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	4.88058151609553	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Hong Kong	HK	HK	22.25	114.166667	HK	20181024	https://www.dailymail.co.uk/tvshowbiz/article-6310949/Scarlett-Moffatt-jets-11TH-holiday-year.html
