789135440	20180923	201809	2018	2018.7205	ARE	DUBAI	ARE								COP	SECURITY FORCE						COP			1	138	138	13	3	-7.0	10	1	10	-5	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Iran	IR	IR	32	53	IR	1	Iran	IR	IR	32	53	IR	20180923	https://www.zawya.com/mena/en/story/Irans_Rouhani_orders_security_forces_to_identify_parade_attackers_ISNA-TR20180922nD5N1W400PX2/
789135819	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								COP	SECURITY FORCE						COP			1	138	138	13	3	-7.0	4	1	4	-5	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20180923	https://www.zawya.com/mena/en/story/Irans_Rouhani_orders_security_forces_to_identify_parade_attackers_ISNA-TR20180922nD5N1W400PX2/
789135820	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								COP	SECURITY FORCE						COP			1	138	138	13	3	-7.0	6	1	6	-5	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Iran	IR	IR	32	53	IR	1	Iran	IR	IR	32	53	IR	20180923	https://www.zawya.com/mena/en/story/Irans_Rouhani_orders_security_forces_to_identify_parade_attackers_ISNA-TR20180922nD5N1W400PX2/
789195068	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	10	4	10	-12.0659300679721	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052107	1	United Arab Emirates	AE	AE	24	54	AE	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20180923	https://www.yahoo.com/news/tehran-warns-uae-over-offensive-remarks-ahvaz-attack-115741050.html
789195069	20180923	201809	2018	2018.7205	IRN	TEHRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	36	5	36	-11.9981405274955	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20180923	https://www.yahoo.com/news/tehran-warns-uae-over-offensive-remarks-ahvaz-attack-115741050.html
789199138	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	6	2	6	-11.2433862433862	5	Khuzestan, Khuzestan, Iran	IR	IR15	31.5	49	-3071486	1	United Arab Emirates	AE	AE	24	54	AE	5	Khuzestan, Khuzestan, Iran	IR	IR15	31.5	49	-3071486	20180923	http://guardian.ng/news/tehran-warns-uae-over-offensive-remarks-on-ahvaz-attack/
789199139	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	18	2	18	-11.2433862433862	5	Khuzestan, Khuzestan, Iran	IR	IR15	31.5	49	-3071486	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20180923	http://guardian.ng/news/tehran-warns-uae-over-offensive-remarks-on-ahvaz-attack/
789199140	20180923	201809	2018	2018.7205	IRN	TEHRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	124	16	124	-10.0298131806117	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	1	United Arab Emirates	AE	AE	24	54	AE	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20180923	https://www.rappler.com/world/regions/middle-east/212659-iran-warns-united-arab-emirates-offensive-remarks-ahvaz-attack
789202767	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	12	5	12	-12.0837925342543	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052107	1	United Arab Emirates	AE	AE	24	54	AE	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052107	20180923	https://www.business-standard.com/article/pti-stories/tehran-warns-uae-over-offensive-remarks-on-ahvaz-attack-118092300421_1.html
789202768	20180923	201809	2018	2018.7205	IRN	IRAN	IRN								ARE	UNITED ARAB EMIRATES	ARE								1	138	138	13	3	-7.0	38	5	38	-12.0837925342543	4	Ahvaz, Khuzestan, Iran	IR	IR15	31.3203	48.6693	-3052107	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20180923	https://www.business-standard.com/article/pti-stories/tehran-warns-uae-over-offensive-remarks-on-ahvaz-attack-118092300421_1.html
