856877236	20190704	201907	2019	2019.5041	GBR	UNITED KINGDOM	GBR																		0	160	160	16	4	-4.0	2	1	2	-0.18587360594796	4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190704	https://www.goldcoastbulletin.com.au/business/work/princess-haya-bint-alhussein-flees-dubai-and-prepares-for-legal-battle-in-london/news-story/d582a3b11f6a6e1db400897f3ca632f8?nk=2589a39f1d4ff96b0d6f14c1442f7675-1562201247
856879777	20190704	201907	2019	2019.5041	SDN	SUDAN	SDN																		1	160	160	16	4	-4.0	1	1	1	-1.33460438512869	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	0							4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20190704	https://www.msn.com/en-us/news/world/abandoned-by-the-uae-sudans-bashir-was-destined-to-fall/ar-AADMFXc
856887661	20190704	201907	2019	2019.5041	ARE	UNITED ARAB EMIRATES	ARE																		1	160	160	16	4	-4.0	2	1	2	-1.45985401459854	4	Sharjah, Ash Shariqah, United Arab Emirates	AE	AE06	25.3573	55.4033	-782371	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20190704	https://www.bbc.com/news/world-middle-east-48844814
856887662	20190704	201907	2019	2019.5041	ARE	UNITED ARAB EMIRATES	ARE																		1	160	160	16	4	-4.0	2	1	2	-1.45985401459854	4	Sharjah, Ash Shariqah, United Arab Emirates	AE	AE06	25.3573	55.4033	-782371	0							4	Saint Martins, Perth and Kinross, United Kingdom	UK	UKW1	56.45	-3.38333	-2606904	20190704	https://www.bbc.com/news/world-middle-east-48844814
856929378	20190704	201907	2019	2019.5041	ARE	UNITED ARAB EMIRATES	ARE																		1	130	130	13	3	-4.4	4	1	4	-1.953125	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190704	https://www.mensxp.com/technology/science-and-future/54361-scientists-remove-hiv-virus-from-infected-mice-for-the-1st-time-but-does-it-mean-we-have-a-cure.html
856956749	20190704	201907	2019	2019.5041	ARE	DUBAI	ARE								GOV	PRESIDENT						GOV			1	130	130	13	3	-4.4	4	1	4	2.63157894736842	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190704	https://www.jpost.com/Breaking-News/Iran-says-active-resistance-is-an-antidote-to-Trumps-warnings-594605
856956751	20190704	201907	2019	2019.5041	ARE	DUBAI	ARE								IRNGOV	IRAN	IRN					GOV			1	130	130	13	3	-4.4	1	1	1	2.63157894736842	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190704	https://www.jpost.com/Breaking-News/Iran-says-active-resistance-is-an-antidote-to-Trumps-warnings-594605
856984286	20190704	201907	2019	2019.5041	ARE	DUBAI	ARE								USA	UNITED STATES	USA								1	164	164	16	4	-7.0	8	4	8	-3.25992891817289	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20190704	https://www.ndtv.com/world-news/iran-ready-for-talks-with-us-if-sanctions-lifted-supreme-leader-ayatollah-ali-khamenei-allows-2064031
856985266	20190704	201907	2019	2019.5041	USA	UNITED STATES	USA								ARE	DUBAI	ARE								1	164	164	16	4	-7.0	8	4	8	-3.25992891817289	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20190704	https://www.ndtv.com/world-news/iran-ready-for-talks-with-us-if-sanctions-lifted-supreme-leader-ayatollah-ali-khamenei-allows-2064031
856992741	20190704	201907	2019	2019.5041	ARE	DUBAI	ARE								USA	THE US	USA								1	164	164	16	4	-7.0	2	1	2	-3.38983050847458	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20190704	https://thewire.in/world/iran-says-talks-with-us-depend-on-khameneis-permission-lifting-of-sanctions
