844754897	20190513	201905	2019	2019.3644	GOV	FOREIGN MINIST						GOV			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	164	15	164	-7.20031305211669	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190513	https://www.channelnewsasia.com/news/world/iranian-lawmaker-says-explosions-at-uae-port-show-gulf-security-is-fragile-11526936
844766000	20190513	201905	2019	2019.3644	NGO	AID GROUP						NGO			SYR	SYRIA	SYR								1	162	162	16	4	-5.6	4	1	4	-7.69230769230769	4	Idlib, Idlib, Syria	SY	SY12	35.9306	36.6339	-2542538	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190513	https://www.abc.net.au/radionational/programs/breakfast/aid-groups-suspend-aid-to-syrias-embattled-idlib-province/11106132
844775765	20190506	201905	2019	2019.3452											IRN	IRAN	IRN								1	130	130	13	3	-4.4	2	1	2	-6.97674418604652	0							4	Gulf Of Oman, Iran (general), Iran	IR	IR00	25.4489	57.7939	-3077385	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190513	https://www.dawn.com/news/1481983/four-ships-subjected-to-sabotage-off-uae-coast
844775766	20190506	201905	2019	2019.3452											IRN	IRAN	IRN								1	130	130	13	3	-4.4	8	1	8	-6.97674418604652	0							4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190513	https://www.dawn.com/news/1481983/four-ships-subjected-to-sabotage-off-uae-coast
844780538	20190513	201905	2019	2019.3644	ARE	UNITED ARAB EMIRATES	ARE																		0	130	130	13	3	-4.4	4	1	4	-2.28245363766048	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190513	https://www.hindustantimes.com/analysis/hindus-and-muslims-may-fight-but-always-make-up/story-ZYL2XLaBSHneHSUbKeo33H.html
844784066	20190513	201905	2019	2019.3644	ARE	DUBAI	ARE																		1	161	161	16	4	-4.0	48	8	48	0.557294166524389	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							1	Oman	MU	MU	21	57	MU	20190513	https://www.washingtonpost.com/world/middle_east/oman-says-it-will-reopen-its-embassy-in-iraq/2019/05/12/c340fbfa-752c-11e9-a7bf-c8a43b84ee31_story.html
844784135	20190513	201905	2019	2019.3644	BUS	TANKER						BUS			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	118	43	118	-8.48232891379916	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190513	http://www.bcdemocrat.com/2019/05/12/ml-emirates-the-latest/
844784136	20190513	201905	2019	2019.3644	BUS	TANKER						BUS			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	154	39	154	-8.79959825922587	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	1	Iran	IR	IR	32	53	IR	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	20190513	http://www.bcdemocrat.com/2019/05/12/ml-emirates-the-latest/
844789055	20190513	201905	2019	2019.3644	BUS	TANKER						BUS			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	319	79	319	-6.68808105923165	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	1	Saudi Arabia	SA	SA	25	45	SA	20190513	https://www.thestar.com/news/world/middleeast/2019/05/12/the-latest-saudi-says-2-oil-tankers-damaged-by-sabotage.html
844789056	20190513	201905	2019	2019.3644	BUS	TANKER						BUS			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	310	79	310	-6.68808105923165	1	Saudi Arabia	SA	SA	25	45	SA	4	Fujairah, Al Fujayrah, United Arab Emirates	AE	AE04	25.1164	56.3414	-782158	1	Saudi Arabia	SA	SA	25	45	SA	20190513	https://www.thestar.com/news/world/middleeast/2019/05/12/the-latest-saudi-says-2-oil-tankers-damaged-by-sabotage.html
