864510213	20190808	201908	2019	2019.5973	ARE	UNITED ARAB EMIRATES	ARE								GOV	PRESIDENT						GOV			1	160	160	16	4	-4.0	6	1	6	1.15606936416185	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Sudan	SU	SU	16	30	SU	1	Sudan	SU	SU	16	30	SU	20190808	https://www.reuters.com/article/sudan-wheat/update-1-sarabia-uae-providing-sudan-with-540000-tonnes-of-wheat-spa-idUSL8N25357E
864571832	20190808	201908	2019	2019.5973	MOS	MUSLIM				MOS					CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	24	4	24	-9.3607608231096	1	United Arab Emirates	AE	AE	24	54	AE	1	Bahrain	BA	BA	26	50.5	BA	1	Bahrain	BA	BA	26	50.5	BA	20190808	https://www.spokesman.com/stories/2019/aug/08/dana-milbank-foreign-countries-warn-about-travel-t/
864571833	20190808	201908	2019	2019.5973	MOS	MUSLIM				MOS					CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	6	3	6	-9.55633494363332	1	United Kingdom	UK	UK	54	-4	UK	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190808	https://www.spokesman.com/stories/2019/aug/08/dana-milbank-foreign-countries-warn-about-travel-t/
864578888	20190808	201908	2019	2019.5973	MOS	MUSLIM				MOS					CVL	CITIZEN						CVL			0	130	130	13	3	-4.4	2	1	2	-8.77403846153844	1	United Kingdom	UK	UK	54	-4	UK	1	Bahrain	BA	BA	26	50.5	BA	1	United Arab Emirates	AE	AE	24	54	AE	20190808	https://www.pressherald.com/2019/08/08/dana-milbank-foreign-countries-warn-about-travel-to-u-s-can-you-blame-them/
864594609	20190808	201908	2019	2019.5973	SAU	SAUDI ARABIA	SAU								YEM	YEMEN	YEM								0	160	160	16	4	-4.0	2	1	2	-3.15512708150745	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	4	Tehran, Tehran, Iran	IR	IR26	35.75	51.5148	10074674	20190808	https://www.albawaba.com/news/why-are-abu-dhabi-and-tehran-talking-about-maritime-security-1302136
864604070	20190808	201908	2019	2019.5973											IRN	TEHRAN	IRN								0	163	163	16	4	-8.0	16	1	16	-5.92255125284738	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190808	https://leadership.ng/2019/08/08/u-s-tells-commercial-vessels-to-send-gulf-transit-plans-in-advance/
864611399	20190808	201908	2019	2019.5973	IRN	IRAN	IRN								GBR	UNITED KINGDOM	GBR								1	161	161	16	4	-4.0	2	1	2	-3.7956204379562	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190808	https://www.dailymail.co.uk/news/article-7336311/P-O-Cruises-cancels-Dubai-Gulf-voyages-amid-Iran-tensions.html
864611400	20190808	201908	2019	2019.5973	IRN	IRAN	IRN								GBR	UNITED KINGDOM	GBR								1	161	161	16	4	-4.0	2	1	2	-3.7956204379562	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	20190808	https://www.dailymail.co.uk/news/article-7336311/P-O-Cruises-cancels-Dubai-Gulf-voyages-amid-Iran-tensions.html
864611402	20190808	201908	2019	2019.5973	IRN	IRAN	IRN								OMN	OMAN	OMN								1	161	161	16	4	-4.0	4	1	4	-3.7956204379562	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190808	https://www.dailymail.co.uk/news/article-7336311/P-O-Cruises-cancels-Dubai-Gulf-voyages-amid-Iran-tensions.html
864611403	20190808	201908	2019	2019.5973	IRN	IRAN	IRN								OMN	OMAN	OMN								1	161	161	16	4	-4.0	2	1	2	-3.7956204379562	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	20190808	https://www.dailymail.co.uk/news/article-7336311/P-O-Cruises-cancels-Dubai-Gulf-voyages-amid-Iran-tensions.html
