865745886	20190813	201908	2019	2019.6110	ARE	UNITED ARAB EMIRATES	ARE																		1	160	160	16	4	-4.0	4	1	4	-1.80412371134021	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190814	https://www.maltatoday.com.mt/news/national/96878/norman_vella_resigns_from_pn_after_schiavones_reinstatement
865790930	20190814	201908	2019	2019.6137	USAGOVBUS	THE US	USA					GOV	BUS												1	160	160	16	4	-4.0	10	2	10	-4.27609427609428	1	United Arab Emirates	AE	AE	24	54	AE	0							1	United Arab Emirates	AE	AE	24	54	AE	20190814	https://www.tert.am/en/news/2019/08/14/commerce-department/3070712
865790931	20190814	201908	2019	2019.6137	USAGOVBUS	THE US	USA					GOV	BUS		ARM	ARMENIA	ARM								1	160	160	16	4	-4.0	10	2	10	-4.27609427609428	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190814	https://www.tert.am/en/news/2019/08/14/commerce-department/3070712
