844457438	20190511	201905	2019	2019.3589	ARE	UNITED ARAB EMIRATES	ARE								CHN	CHINA	CHN								0	163	163	16	4	-8.0	1	1	1	-4.33566433566433	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190511	https://nypost.com/2019/05/10/nyu-stands-up-to-the-israel-haters/
844457439	20190511	201905	2019	2019.3589	ARE	UNITED ARAB EMIRATES	ARE								CHN	CHINA	CHN								0	163	163	16	4	-8.0	4	1	4	-4.33566433566433	1	United Arab Emirates	AE	AE	24	54	AE	1	China	CH	CH	35	105	CH	1	United Arab Emirates	AE	AE	24	54	AE	20190511	https://nypost.com/2019/05/10/nyu-stands-up-to-the-israel-haters/
844477992	20190511	201905	2019	2019.3589	ARE	UNITED ARAB EMIRATES	ARE								ELI	RETIRED						ELI			0	160	160	16	4	-4.0	1	1	1	-2.86065825899723	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190511	https://punchng.com/unspeakable-cruelty-how-policemen-turn-complainants-to-atm-milk-them-dry/
844477993	20190511	201905	2019	2019.3589	ARE	UNITED ARAB EMIRATES	ARE								ELI	RETIRED						ELI			0	160	160	16	4	-4.0	1	1	1	-2.86065825899723	1	Australia	AS	AS	-25	135	AS	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190511	https://punchng.com/unspeakable-cruelty-how-policemen-turn-complainants-to-atm-milk-them-dry/
844504450	20190511	201905	2019	2019.3589	ARE	UNITED ARAB EMIRATES	ARE								QAT	QATAR	QAT								0	161	161	16	4	-4.0	2	1	2	-4.59081836327346	1	United Arab Emirates	AE	AE	24	54	AE	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	1	Egypt	EG	EG	27	30	EG	20190511	https://eurasiantimes.com/qatar-asks-saudi-arabia-to-remove-hajj-restrictions-for-its-citizens/
844520307	20190511	201905	2019	2019.3589											SDN	SUDAN	SDN								0	130	130	13	3	-4.4	1	1	1	-7.22724113968033	0							1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190511	https://www.nytimes.com/2019/05/11/world/africa/sudan-darfur-revolution-protest.html
844520949	20190511	201905	2019	2019.3589	MIL	GENERALS						MIL			SDN	SUDAN	SDN								0	130	130	13	3	-4.4	1	1	1	-7.22724113968033	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	Saudi Arabia	SA	SA	25	45	SA	20190511	https://www.nytimes.com/2019/05/11/world/africa/sudan-darfur-revolution-protest.html
844534176	20190511	201905	2019	2019.3589	COP	PRISON						COP			ARE	ABU DHABI	ARE								1	160	160	16	4	-4.0	2	1	2	-8.94941634241241	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	24.4667	54.3667	-782066	20190511	https://www.khaleejtimes.com/news/crime-and-courts/jilted-lover-stabs-expat-woman-to-death-in-uae-court-rejects-appeal-
844536051	20190511	201905	2019	2019.3589	GOV	EMBASSY						GOV													1	130	130	13	3	-4.4	10	1	10	-3.44827586206897	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	0							4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190511	https://www.newsgram.com/indian-embassy-urges-to-report-salary-delay/
844553868	20190511	201905	2019	2019.3589	CVL	POPULATION						CVL													0	130	130	13	3	-4.4	10	1	10	2.74509803921569	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190511	http://wam.ae/en/details/1395302761879
