860602336	20190721	201907	2019	2019.5507	USALEG	AMERICAN	USA					LEG			ARE	UNITED ARAB EMIRATES	ARE								0	163	163	16	4	-8.0	2	1	2	-2.97951582867784	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	United Arab Emirates	AE	AE	24	54	AE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	24.6408	46.7728	-3093009	20190721	https://www.timesnownews.com/mirror-now/in-focus/article/tumultuous-triangle-what-lies-ahead-for-the-middle-east-conflict-with-us-saudi-coming-to-blows-with-iran/456781
860630969	20190721	201907	2019	2019.5507	SAU	SAUDI	SAU								BHR	BAHRAIN	BHR								1	161	161	16	4	-4.0	2	1	2	-3	1	Saudi Arabia	SA	SA	25	45	SA	1	United Arab Emirates	AE	AE	24	54	AE	1	Bahrain	BA	BA	26	50.5	BA	20190721	https://www.aljazeera.com/news/2019/07/fake-twitter-accounts-influencing-gulf-crisis-190717052607770.html
860641058	20190721	201907	2019	2019.5507	haw	HAWAIIAN			haw						USA	UNITED STATES	USA								0	160	160	16	4	-4.0	8	2	8	-2.37352488615757	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	Hawaii, United States	US	USHI	21.1098	-157.531	HI	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190721	https://www.hawaiitribune-herald.com/2019/07/21/hawaii-news/crowd-swells-to-1400-at-protest-site/
860642130	20190721	201907	2019	2019.5507	IRN	IRAN	IRN								GBR	UNITED KINGDOM	GBR								1	130	130	13	3	-4.4	10	1	10	-5.09745127436282	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190721	http://www.swissinfo.ch/eng/iran-warns-uk-against-escalating-tensions--says-crew-of-seized-ship-safe/45111482
860646432	20190721	201907	2019	2019.5507	ARE	DUBAI	ARE								GBR	UNITED KINGDOM	GBR								1	130	130	13	3	-4.4	16	8	16	-3.88803134126932	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	United Kingdom	UK	UK	54	-4	UK	1	United Kingdom	UK	UK	54	-4	UK	20190721	https://wtaq.com/news/articles/2019/jul/21/all-23-crew-of-seized-british-operated-tanker-are-safe-iranian-tv/919949/
860652850	20190721	201907	2019	2019.5507	BUS	AIRLINE						BUS			EGY	CAIRO	EGY								1	160	160	16	4	-4.0	62	3	62	-1.78495095165328	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	20190721	https://www.reuters.com/article/egypt-air-france-klm-idUSL8N24M0DK
860652851	20190721	201907	2019	2019.5507	BUS	AIRLINE						BUS			EGY	CAIRO	EGY								1	160	160	16	4	-4.0	4	1	4	-1.43406705970727	4	Cairo, Al Qahirah, Egypt	EG	EG11	30.05	31.25	-290692	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190721	https://uk.reuters.com/article/uk-egypt-air-france-klm/air-france-emirates-maintain-cairo-flights-after-british-air-suspension-idUKKCN1UG0BC
860662569	20190721	201907	2019	2019.5507											GOV	AUTHORITIES						GOV			1	130	130	13	3	-4.4	10	1	10	-7.41350906095551	0							4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	4	Khaleej Times, Dubayy, United Arab Emirates	AE	AE03	25.1723	55.2444	11414110	20190721	https://www.khaleejtimes.com/news/crime-and-courts/beware-of-online-blackmailers-in-uae
860663095	20190721	201907	2019	2019.5507	IRN	IRAN	IRN																		1	163	163	16	4	-8.0	5	1	5	-6.79156908665106	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190721	https://finance.yahoo.com/news/middle-east-stocks-fall-regional-074058357.html
860672903	20190721	201907	2019	2019.5507											BUS	COMPANY						BUS			0	139	139	13	3	-7.0	3	1	3	-3.24324324324324	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190721	https://www.khaleejtimes.com/uae/dubai/indian-family-seeks-help-as-seaman-goes-missing-from-ship-in-iran
