871362968	20190909	201909	2019	2019.6822	HLH	HOSPITAL						HLH			KWTGOV	KUWAIT	KWT					GOV			1	161	161	16	4	-4.0	6	1	6	-1.59574468085107	1	Kuwait	KU	KU	29.5	47.75	KU	1	Kuwait	KU	KU	29.5	47.75	KU	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.firstpost.com/world/kuwaits-ruler-in-u-s-hospital-for-tests-postpones-trump-meeting-7307521.html
871369088	20190810	201908	2019	2019.6027	ARE	DUBAI	ARE								GOV	PRESIDENT						GOV			1	160	160	16	4	-4.0	48	8	48	-1.76223659399881	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Kuwait	KU	KU	29.5	47.75	KU	20190909	https://www.chron.com/neighborhood/news/world/article/Kuwait-s-ruler-90-in-US-hospital-and-cancels-14423741.php
871369089	20190810	201908	2019	2019.6027	ARE	DUBAI	ARE								GOV	PRESIDENT						GOV			1	160	160	16	4	-4.0	10	5	10	-1.1543081587126	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	1	Kuwait	KU	KU	29.5	47.75	KU	1	Kuwait	KU	KU	29.5	47.75	KU	20190909	https://www.chron.com/neighborhood/news/world/article/Kuwait-s-ruler-90-in-US-hospital-and-cancels-14423741.php
871389216	20190810	201908	2019	2019.6027	ARE	DUBAI	ARE								USAGOV	UNITED STATES	USA					GOV			1	160	160	16	4	-4.0	4	2	4	-2.07984264588038	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	3	White House, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	1	Kuwait	KU	KU	29.5	47.75	KU	20190909	https://www.gainesville.com/ZZ/news/20190909/kuwaits-ruler-90-in-us-hospital-and-cancels-trump-visit
871406284	20190909	201909	2019	2019.6822	GBR	LONDON	GBR								GBRBUS	BRITISH	GBR					BUS			1	160	160	16	4	-4.0	4	1	4	0.70609002647838	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.thenational.ae/lifestyle/travel/airline-and-travel-news-etihad-and-cebu-pacific-sale-british-airways-strikes-and-more-1.908070
871406285	20190909	201909	2019	2019.6822	GBR	LONDON	GBR								GBRBUS	UNITED KINGDOM	GBR					BUS			1	160	160	16	4	-4.0	1	1	1	0.70609002647838	4	Azur, Al Karak, Jordan	JO	JO09	31.3488	35.821	-970725	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.thenational.ae/lifestyle/travel/airline-and-travel-news-etihad-and-cebu-pacific-sale-british-airways-strikes-and-more-1.908070
871420892	20190810	201908	2019	2019.6027	CRM	CRIMINAL						CRM			ARECOP	DUBAI	ARE					COP			0	130	130	13	3	-4.4	10	1	10	-5.54455445544554	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.thenational.ae/uae/government/cyber-criminals-target-uae-residents-using-abu-dhabi-police-logo-1.908142
871427353	20190909	201909	2019	2019.6822	ARE	DUBAI	ARE								BUS	BUSINESS						BUS			1	130	130	13	3	-4.4	64	16	64	-6.11353711790393	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.ohiostandard.com/news/262356573/school-bus-in-collision-with-water-tanker-in-dubai
871427359	20190909	201909	2019	2019.6822	ARECOP	DUBAI	ARE					COP			BUS	BUSINESS						BUS			1	130	130	13	3	-4.4	96	16	96	-6.11353711790393	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.ohiostandard.com/news/262356573/school-bus-in-collision-with-water-tanker-in-dubai
871462529	20190909	201909	2019	2019.6822	ARE	UNITED ARAB EMIRATES	ARE																		1	160	160	16	4	-4.0	1	1	1	-2.80701754385965	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190909	https://www.dnaindia.com/television/report-we-are-better-together-as-one-unit-amit-tandon-calls-off-divorce-with-wife-ruby-2788533
