872099637	20190912	201909	2019	2019.6904	LAB	EMPLOYEE						LAB													0	164	164	16	4	-7.0	10	1	10	-5.63380281690141	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.gulftoday.ae/news/2019/09/11/recruiter-employee-sued-over-maids-death
872209109	20190912	201909	2019	2019.6904											ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-1.84049079754601	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.arabianbusiness.com/politics-economics/427746-sheikh-mansour-warns-firms-against-manipulating-emiratisation-stats
872209917	20190912	201909	2019	2019.6904	GOV	MINIST OF PRESIDENTIAL AFFAIRS						GOV			ARE	UNITED ARAB EMIRATES	ARE								1	130	130	13	3	-4.4	2	1	2	-1.84049079754601	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.arabianbusiness.com/politics-economics/427746-sheikh-mansour-warns-firms-against-manipulating-emiratisation-stats
872236020	20190912	201909	2019	2019.6904	COP	POLICE OFFICER						COP			LKA	SRI LANKA	LKA								1	130	130	13	3	-4.4	2	1	2	-5.61797752808989	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	4	Boossa, Southern, Sri Lanka	CE	CE34	6.0733	80.1577	-2214510	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	http://www.dailymirror.lk/breaking_news/Kanjipanis-father-brother-arrested/108-174432
872251062	20190912	201909	2019	2019.6904	ARE	UNITED ARAB EMIRATES	ARE								CVL	CITIZEN						CVL			1	130	130	13	3	-4.4	10	1	10	-9.40170940170944	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	1	United Arab Emirates	AE	AE	24	54	AE	20190912	https://www.wcbe.org/post/emirati-man-falsely-accused-being-isis-member-settles-suit-ohio-hotel-and-police
872295273	20190911	201909	2019	2019.6877											BUS	BOSS						BUS			1	138	138	13	3	-7.0	6	1	6	-2.38095238095238	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.dailystar.co.uk/tv/emmerdale-asan-ellis-exit-plot-20050735
872295274	20190911	201909	2019	2019.6877	ARE	UNITED ARAB EMIRATES	ARE								BUS	BOSS						BUS			1	138	138	13	3	-7.0	4	1	4	-2.38095238095238	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.dailystar.co.uk/tv/emmerdale-asan-ellis-exit-plot-20050735
872295546	20190912	201909	2019	2019.6904	ARE	UNITED ARAB EMIRATES	ARE																		1	138	138	13	3	-7.0	8	1	4	-2.76564774381368	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.thesun.co.uk/tvandshowbiz/9915178/emmerdales-ellis-dubai-jessie-asan-sacked-jamie/
872295549	20190912	201909	2019	2019.6904	ARE	UNITED ARAB EMIRATES	ARE								ELI	ACTOR						ELI			1	138	138	13	3	-7.0	4	1	4	-2.38095238095238	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.dailystar.co.uk/tv/emmerdale-asan-ellis-exit-plot-20050735
872295984	20190912	201909	2019	2019.6904	ELI	ACTOR						ELI													1	138	138	13	3	-7.0	6	1	6	-2.38095238095238	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	0							4	Dubai, Dubayy, United Arab Emirates	AE	AE03	25.2522	55.28	-782831	20190912	https://www.dailystar.co.uk/tv/emmerdale-asan-ellis-exit-plot-20050735
872353418	20190905	201909	2019	2019.6712	LBY	LIBYA	LBY								IGOUNO	THE SECURITY COUNCIL		UNO				IGO			0	130	130	13	3	-4.4	1	1	1	-4.43686006825938	4	Tripoli, Tarabulus, Libya	LY	LY61	32.8925	13.18	-3178767	1	United Arab Emirates	AE	AE	24	54	AE	4	Tripoli, Tarabulus, Libya	LY	LY61	32.8925	13.18	-3178767	20190912	http://www.jordantimes.com/news/region/un-renews-libya-mission-pledges-support-ceasefire
